impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
TwoLevelTable(p=2048g=8),small_sizes,1.5643e+06,1.5643e+06,1.5643e+06,0,1.08675e+08,0,10000,0,260000,260000,260000,10000,10000,0,0,0
TwoLevelTable(p=2048g=16),small_sizes,1.3385e+06,1.3385e+06,1.3385e+06,0,1.27008e+08,0,10000,0,220000,220000,220000,10000,10000,0,0,0
TwoLevelTable(p=2048g=32),small_sizes,1.7934e+06,1.7934e+06,1.7934e+06,0,9.4792e+07,0,10000,0,200000,200000,200000,10000,10000,0,0,0
TwoLevelTable(p=4096g=16),small_sizes,1.4093e+06,1.4093e+06,1.4093e+06,0,1.20627e+08,0,10000,0,220000,220000,220000,10000,10000,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,1.4129e+06,1.4129e+06,1.4129e+06,0,1.2032e+08,0,10000,0,200000,200000,200000,10000,10000,0,0,0
TwoLevelTable(p=8192g=32),small_sizes,1.3653e+06,1.3653e+06,1.3653e+06,0,1.24515e+08,0,10000,0,200000,200000,200000,10000,10000,0,0,0
TwoLevelTable(p=8192g=64),small_sizes,1.6897e+06,1.6897e+06,1.6897e+06,0,1.0061e+08,0,10000,0,180000,180000,180000,10000,10000,0,0,0
TwoLevelTable(p=16384g=64),small_sizes,1.4324e+06,1.4324e+06,1.4324e+06,0,1.18682e+08,0,10000,0,180000,180000,180000,10000,10000,0,0,0
TwoLevelTable(p=2048g=8),large_sizes,431800,431800,431800,0,1.9685e+06,0,50,0,80900,80900,80900,50,50,0,0,0
TwoLevelTable(p=2048g=16),large_sizes,392600,392600,392600,0,2.16505e+06,0,50,0,40900,40900,40900,50,50,0,0,0
TwoLevelTable(p=2048g=32),large_sizes,436900,436900,436900,0,1.94553e+06,0,50,0,20900,20900,20900,50,50,0,0,0
TwoLevelTable(p=4096g=16),large_sizes,448700,448700,448700,0,1.89436e+06,0,50,0,40900,40900,40900,50,50,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,412800,412800,412800,0,2.05911e+06,0,50,0,20900,20900,20900,50,50,0,0,0
TwoLevelTable(p=8192g=32),large_sizes,394200,394200,394200,0,2.15627e+06,0,50,0,20900,20900,20900,50,50,0,0,0
TwoLevelTable(p=8192g=64),large_sizes,375700,375700,375700,0,2.26244e+06,0,50,0,10900,10900,10900,50,50,0,0,0
TwoLevelTable(p=16384g=64),large_sizes,385700,385700,385700,0,2.20379e+06,0,50,0,10900,10900,10900,50,50,0,0,0
TwoLevelTable(p=2048g=8),mixed_sizes,531700,531700,531700,0,3.19729e+07,0,1000,0,97728,97728,97728,1000,1000,0,0,0
TwoLevelTable(p=2048g=16),mixed_sizes,500300,500300,500300,0,3.39796e+07,0,1000,0,57350,57350,57350,1000,1000,0,0,0
TwoLevelTable(p=2048g=32),mixed_sizes,649900,649900,649900,0,2.61579e+07,0,1000,0,37158,37158,37158,1000,1000,0,0,0
TwoLevelTable(p=4096g=16),mixed_sizes,514500,514500,514500,0,3.30418e+07,0,1000,0,57350,57350,57350,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),mixed_sizes,503900,503900,503900,0,3.37369e+07,0,1000,0,37158,37158,37158,1000,1000,0,0,0
TwoLevelTable(p=8192g=32),mixed_sizes,644300,644300,644300,0,2.63852e+07,0,1000,0,37158,37158,37158,1000,1000,0,0,0
TwoLevelTable(p=8192g=64),mixed_sizes,510000,510000,510000,0,3.33333e+07,0,1000,0,27080,27080,27080,1000,1000,0,0,0
TwoLevelTable(p=16384g=64),mixed_sizes,517700,517700,517700,0,3.28376e+07,0,1000,0,27080,27080,27080,1000,1000,0,0,0
TwoLevelTable(p=2048g=8),realloc,819400,819400,819400,0,2.19673e+07,0,500,0,98000,98000,98000,1000,1000,0,0,0
TwoLevelTable(p=2048g=16),realloc,815800,815800,815800,0,2.20642e+07,0,500,0,58000,58000,58000,1000,1000,0,0,0
TwoLevelTable(p=2048g=32),realloc,768900,768900,768900,0,2.34101e+07,0,500,0,38000,38000,38000,1000,1000,0,0,0
TwoLevelTable(p=4096g=16),realloc,688300,688300,688300,0,2.61514e+07,0,500,0,58000,58000,58000,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),realloc,885200,885200,885200,0,2.03344e+07,0,500,0,38000,38000,38000,1000,1000,0,0,0
TwoLevelTable(p=8192g=32),realloc,759800,759800,759800,0,2.36904e+07,0,500,0,38000,38000,38000,1000,1000,0,0,0
TwoLevelTable(p=8192g=64),realloc,816700,816700,816700,0,2.20399e+07,0,500,0,28000,28000,28000,1000,1000,0,0,0
TwoLevelTable(p=16384g=64),realloc,763600,763600,763600,0,2.35726e+07,0,500,0,28000,28000,28000,1000,1000,0,0,0
TwoLevelTable(p=2048g=8),random_access,534400,534400,534400,0,3.18114e+07,0,1000,0,98000,98000,98000,1000,1000,0,0,0
TwoLevelTable(p=2048g=16),random_access,557600,557600,557600,0,3.04878e+07,0,1000,0,58000,58000,58000,1000,1000,0,0,0
TwoLevelTable(p=2048g=32),random_access,509900,509900,509900,0,3.33399e+07,0,1000,0,38000,38000,38000,1000,1000,0,0,0
TwoLevelTable(p=4096g=16),random_access,508700,508700,508700,0,3.34185e+07,0,1000,0,58000,58000,58000,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),random_access,500300,500300,500300,0,3.39796e+07,0,1000,0,38000,38000,38000,1000,1000,0,0,0
TwoLevelTable(p=8192g=32),random_access,646200,646200,646200,0,2.63076e+07,0,1000,0,38000,38000,38000,1000,1000,0,0,0
TwoLevelTable(p=8192g=64),random_access,644900,644900,644900,0,2.63607e+07,0,1000,0,28000,28000,28000,1000,1000,0,0,0
TwoLevelTable(p=16384g=64),random_access,773500,773500,773500,0,2.1978e+07,0,1000,0,28000,28000,28000,1000,1000,0,0,0
TwoLevelTable(p=2048g=8),global_random_access,1.6477e+06,1.6477e+06,1.6477e+06,0,1.03174e+07,0,1000,0,82001,82001,82001,1000,1000,0,0,0
TwoLevelTable(p=2048g=16),global_random_access,1.5495e+06,1.5495e+06,1.5495e+06,0,1.09713e+07,0,1000,0,42001,42001,42001,1000,1000,0,0,0
TwoLevelTable(p=2048g=32),global_random_access,1.1215e+06,1.1215e+06,1.1215e+06,0,1.51583e+07,0,1000,0,22001,22001,22001,1000,1000,0,0,0
TwoLevelTable(p=4096g=16),global_random_access,1.1378e+06,1.1378e+06,1.1378e+06,0,1.49411e+07,0,1000,0,42001,42001,42001,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),global_random_access,1.1994e+06,1.1994e+06,1.1994e+06,0,1.41738e+07,0,1000,0,22001,22001,22001,1000,1000,0,0,0
TwoLevelTable(p=8192g=32),global_random_access,1.3378e+06,1.3378e+06,1.3378e+06,0,1.27074e+07,0,1000,0,22001,22001,22001,1000,1000,0,0,0
TwoLevelTable(p=8192g=64),global_random_access,1.2542e+06,1.2542e+06,1.2542e+06,0,1.35545e+07,0,1000,0,12001,12001,12001,1000,1000,0,0,0
TwoLevelTable(p=16384g=64),global_random_access,1.1825e+06,1.1825e+06,1.1825e+06,0,1.43763e+07,0,1000,0,12001,12001,12001,1000,1000,0,0,0
