impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
TwoLevelTable(p=2048g=8),small_sizes,1.39555e+07,0,8.46882e+07,2.99234e+07,6.09078e+08,0,0,0,43620746,43620746,43620746,1677721,1677721,0,0,0
TwoLevelTable(p=2048g=16),small_sizes,1.06143e+07,0,7.64041e+07,2.54449e+07,8.00803e+08,0,0,0,30758222,30758222,30758222,1398101,1398101,0,0,0
TwoLevelTable(p=2048g=32),small_sizes,7.72404e+06,0,7.39499e+07,2.20176e+07,1.10046e+09,0,0,0,20971520,20971520,20971520,1048576,1048576,0,0,0
TwoLevelTable(p=4096g=16),small_sizes,1.04731e+07,0,7.79198e+07,2.51427e+07,8.11605e+08,0,0,0,30758222,30758222,30758222,1398101,1398101,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,7.81778e+06,0,7.47655e+07,2.22817e+07,1.08726e+09,0,0,0,20971520,20971520,20971520,1048576,1048576,0,0,0
TwoLevelTable(p=8192g=32),small_sizes,7.66286e+06,0,7.46226e+07,2.18778e+07,1.10925e+09,0,0,0,20971520,20971520,20971520,1048576,1048576,0,0,0
TwoLevelTable(p=8192g=64),small_sizes,7.50457e+06,0,7.31356e+07,2.1443e+07,1.13264e+09,0,0,0,18874368,18874368,18874368,1048576,1048576,0,0,0
TwoLevelTable(p=16384g=64),small_sizes,7.45524e+06,0,7.25841e+07,2.11661e+07,1.14014e+09,0,0,0,18874368,18874368,18874368,1048576,1048576,0,0,0
TwoLevelTable(p=2048g=8),large_sizes,7.16534e+06,0,3.46815e+07,1.36011e+07,1.18627e+06,0,0,0,16805728,16805728,16805728,2096,2096,0,0,0
TwoLevelTable(p=2048g=16),large_sizes,5.72304e+06,0,2.86479e+07,1.08395e+07,1.48522e+06,0,0,0,8421728,8421728,8421728,2096,2096,0,0,0
TwoLevelTable(p=2048g=32),large_sizes,4.87437e+06,0,2.4033e+07,9.22025e+06,1.74382e+06,0,0,0,4227710,4227710,4227710,2095,2095,0,0,0
TwoLevelTable(p=4096g=16),large_sizes,5.57968e+06,0,2.80091e+07,1.05729e+07,1.52338e+06,0,0,0,8421728,8421728,8421728,2096,2096,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,4.8349e+06,0,2.45575e+07,9.18906e+06,1.75805e+06,0,0,0,4227710,4227710,4227710,2095,2095,0,0,0
TwoLevelTable(p=8192g=32),large_sizes,4.70552e+06,0,2.29198e+07,8.92539e+06,1.80639e+06,0,0,0,4227710,4227710,4227710,2095,2095,0,0,0
TwoLevelTable(p=8192g=64),large_sizes,4.4205e+06,0,2.19186e+07,8.41621e+06,1.92286e+06,0,0,0,2129656,2129656,2129656,2092,2092,0,0,0
TwoLevelTable(p=16384g=64),large_sizes,4.2828e+06,0,2.06373e+07,8.13711e+06,1.98468e+06,0,0,0,2129656,2129656,2129656,2092,2092,0,0,0
TwoLevelTable(p=2048g=8),mixed_sizes,7.32048e+06,0,3.56842e+07,1.38959e+07,1.16113e+07,0,0,0,17111908,17111908,17111908,20935,20935,0,0,0
TwoLevelTable(p=2048g=16),mixed_sizes,5.72226e+06,0,2.84917e+07,1.08976e+07,1.48543e+07,0,0,0,8722922,8722922,8722922,20905,20905,0,0,0
TwoLevelTable(p=2048g=32),mixed_sizes,4.87004e+06,0,2.3397e+07,9.2851e+06,1.74537e+07,0,0,0,4527966,4527966,4527966,20857,20857,0,0,0
TwoLevelTable(p=4096g=16),mixed_sizes,5.62086e+06,0,2.69164e+07,1.06255e+07,1.51222e+07,0,0,0,8722922,8722922,8722922,20905,20905,0,0,0
TwoLevelTable(p=4096g=32),mixed_sizes,4.89244e+06,0,2.40563e+07,9.31903e+06,1.73737e+07,0,0,0,4527966,4527966,4527966,20857,20857,0,0,0
TwoLevelTable(p=8192g=32),mixed_sizes,4.86695e+06,0,2.41013e+07,9.28192e+06,1.74647e+07,0,0,0,4527966,4527966,4527966,20857,20857,0,0,0
TwoLevelTable(p=8192g=64),mixed_sizes,4.58438e+06,0,2.43442e+07,8.82062e+06,1.85412e+07,0,0,0,2429354,2429354,2429354,20765,20765,0,0,0
TwoLevelTable(p=16384g=64),mixed_sizes,4.45338e+06,0,2.17993e+07,8.533e+06,1.90866e+07,0,0,0,2429354,2429354,2429354,20765,20765,0,0,0
TwoLevelTable(p=2048g=8),realloc,1.05849e+07,0,5.08733e+07,2.01043e+07,8.50271e+06,0,0,0,17111742,17111742,17111742,20919,20919,0,0,0
TwoLevelTable(p=2048g=16),realloc,8.34422e+06,0,4.02396e+07,1.58932e+07,1.07859e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
TwoLevelTable(p=2048g=32),realloc,7.17127e+06,0,3.49011e+07,1.3728e+07,1.25501e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=4096g=16),realloc,8.25376e+06,0,3.96964e+07,1.57217e+07,1.09041e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
TwoLevelTable(p=4096g=32),realloc,7.13418e+06,0,3.45417e+07,1.36643e+07,1.26153e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=8192g=32),realloc,7.23085e+06,0,3.64615e+07,1.38424e+07,1.24467e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=8192g=64),realloc,6.60883e+06,0,3.28297e+07,1.28034e+07,1.36181e+07,0,0,0,2426080,2426080,2426080,20560,20560,0,0,0
TwoLevelTable(p=16384g=64),realloc,6.5546e+06,0,3.23705e+07,1.26885e+07,1.37308e+07,0,0,0,2426080,2426080,2426080,20560,20560,0,0,0
TwoLevelTable(p=2048g=8),random_access,7.19088e+06,0,3.45898e+07,1.36548e+07,1.18205e+07,0,0,0,17111742,17111742,17111742,20919,20919,0,0,0
TwoLevelTable(p=2048g=16),random_access,5.64625e+06,0,2.73337e+07,1.06949e+07,1.50542e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
TwoLevelTable(p=2048g=32),random_access,4.86347e+06,0,2.37615e+07,9.31523e+06,1.74772e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=4096g=16),random_access,5.55211e+06,0,2.67274e+07,1.05782e+07,1.53095e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
