impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
TwoLevelTable(p=2048g=8),small_sizes,8.07781e+07,8.07781e+07,8.07781e+07,0,1.05227e+08,2762240,500000,0,13000000,13000000,13000000,500000,500000,0,0,0
TwoLevelTable(p=2048g=16),small_sizes,7.72435e+07,7.72435e+07,7.72435e+07,0,1.10042e+08,1762176,500000,0,11000000,11000000,11000000,500000,500000,0,0,0
TwoLevelTable(p=2048g=32),small_sizes,7.51908e+07,7.51908e+07,7.51908e+07,0,1.13046e+08,1262144,500000,0,10000000,10000000,10000000,500000,500000,0,0,0
TwoLevelTable(p=4096g=16),small_sizes,7.42437e+07,7.42437e+07,7.42437e+07,0,1.14488e+08,1631232,500000,0,11000000,11000000,11000000,500000,500000,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,7.51071e+07,7.51071e+07,7.51071e+07,0,1.13172e+08,1131136,500000,0,10000000,10000000,10000000,500000,500000,0,0,0
TwoLevelTable(p=8192g=32),small_sizes,7.46588e+07,7.46588e+07,7.46588e+07,0,1.13851e+08,1065728,500000,0,10000000,10000000,10000000,500000,500000,0,0,0
TwoLevelTable(p=8192g=64),small_sizes,7.24151e+07,7.24151e+07,7.24151e+07,0,1.17379e+08,16565632,500000,0,9000000,9000000,9000000,500000,500000,0,0,0
TwoLevelTable(p=16384g=64),small_sizes,7.16826e+07,7.16826e+07,7.16826e+07,0,1.18578e+08,16532992,500000,0,9000000,9000000,9000000,500000,500000,0,0,0
TwoLevelTable(p=2048g=8),large_sizes,3.47343e+07,3.47343e+07,3.47343e+07,0,244715,2262784,500,0,4009000,4009000,4009000,500,500,0,0,0
TwoLevelTable(p=2048g=16),large_sizes,2.64657e+07,2.64657e+07,2.64657e+07,0,321170,1262720,500,0,2009000,2009000,2009000,500,500,0,0,0
TwoLevelTable(p=2048g=32),large_sizes,2.23968e+07,2.23968e+07,2.23968e+07,0,379519,762688,500,0,1009000,1009000,1009000,500,500,0,0,0
TwoLevelTable(p=4096g=16),large_sizes,2.58431e+07,2.58431e+07,2.58431e+07,0,328908,1131776,500,0,2009000,2009000,2009000,500,500,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,2.23825e+07,2.23825e+07,2.23825e+07,0,379761,631680,500,0,1009000,1009000,1009000,500,500,0,0,0
TwoLevelTable(p=8192g=32),large_sizes,2.23469e+07,2.23469e+07,2.23469e+07,0,380366,566272,500,0,1009000,1009000,1009000,500,500,0,0,0
TwoLevelTable(p=8192g=64),large_sizes,2.10339e+07,2.10339e+07,2.10339e+07,0,404110,316160,500,0,509000,509000,509000,500,500,0,0,0
