impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_sizes,5.10914e+07,5.10914e+07,5.10914e+07,0,1.66369e+08,16777216,500000,0,16000000,0,16000000,500000,500000,0,0,0
BasicShadow(g=8),small_sizes,5.66956e+07,5.66956e+07,5.66956e+07,0,1.49923e+08,8388608,500000,0,13000000,0,13000000,500000,500000,0,0,0
BasicShadow(g=16),small_sizes,5.21747e+07,5.21747e+07,5.21747e+07,0,1.62914e+08,4194304,500000,0,11000000,0,11000000,500000,500000,0,0,0
BasicShadow(g=32),small_sizes,5.93863e+07,5.93863e+07,5.93863e+07,0,1.43131e+08,2097152,500000,0,10000000,0,10000000,500000,500000,0,0,0
BasicShadow(g=64),small_sizes,5.26066e+07,5.26066e+07,5.26066e+07,0,1.61577e+08,17048576,500000,0,9500000,0,9500000,500000,500000,0,0,0
BasicShadow(g=128),small_sizes,5.26885e+07,5.26885e+07,5.26885e+07,0,1.61326e+08,48524288,500000,0,9250000,0,9250000,500000,500000,0,0,0
BasicShadow(g=4),large_sizes,1.8594e+07,1.8594e+07,1.8594e+07,0,457137,16777216,500,0,8008000,0,8008000,500,500,0,0,0
BasicShadow(g=8),large_sizes,1.8513e+07,1.8513e+07,1.8513e+07,0,459137,8388608,500,0,4009000,0,4009000,500,500,0,0,0
BasicShadow(g=16),large_sizes,1.91565e+07,1.91565e+07,1.91565e+07,0,443714,4194304,500,0,2009000,0,2009000,500,500,0,0,0
BasicShadow(g=32),large_sizes,1.83734e+07,1.83734e+07,1.83734e+07,0,462625,2097152,500,0,1009000,0,1009000,500,500,0,0,0
BasicShadow(g=64),large_sizes,1.87368e+07,1.87368e+07,1.87368e+07,0,453653,1048576,500,0,509000,0,509000,500,500,0,0,0
BasicShadow(g=128),large_sizes,1.83637e+07,1.83637e+07,1.83637e+07,0,462870,524288,500,0,259000,0,259000,500,500,0,0,0
BasicShadow(g=4),mixed_sizes,1.97149e+07,1.97149e+07,1.97149e+07,0,4.31146e+06,16784714,5000,0,8080302,0,8080302,5000,5000,0,0,0
