impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
CuckooHashTable(p=512 g=8),small_sizes,7.92692e+08,7.92692e+08,7.92692e+08,0,1.0723e+07,67108864,500000,0,42252251,0,770263064,500000,500000,0,0,0
CuckooHashTable(p=1024 g=16),small_sizes,4.83262e+08,4.83262e+08,4.83262e+08,0,1.75888e+07,33554432,500000,0,31406312,0,533019584,500000,500000,0,0,0
CuckooHashTable(p=1024 g=32),small_sizes,3.72716e+08,3.72716e+08,3.72716e+08,0,2.28055e+07,33554432,500000,0,27680406,0,455597840,500000,500000,0,0,0
CuckooHashTable(p=2048 g=32),small_sizes,3.55386e+08,3.55386e+08,3.55386e+08,0,2.39176e+07,33554432,500000,0,27667892,0,456064104,500000,500000,0,0,0
CuckooHashTable(p=2048 g=64),small_sizes,2.17531e+08,2.17531e+08,2.17531e+08,0,3.90749e+07,32777216,500000,0,22242561,0,335852000,500000,500000,0,0,0
CuckooHashTable(p=4096 g=128),small_sizes,2.64581e+08,2.64581e+08,2.64581e+08,0,3.21263e+07,64777216,500000,0,22387261,0,338684560,500000,500000,0,0,0
CuckooHashTable(p=512 g=8),large_sizes,6.29895e+08,6.29895e+08,6.29895e+08,0,13494.3,67108864,500,0,23085197,0,506057768,500,500,0,0,0
CuckooHashTable(p=1024 g=16),large_sizes,2.91257e+08,2.91257e+08,2.91257e+08,0,29183.8,33554432,500,0,11698013,0,255824408,500,500,0,0,0
CuckooHashTable(p=1024 g=32),large_sizes,1.11495e+08,1.11495e+08,1.11495e+08,0,76236.5,16777216,500,0,6049239,0,131466928,500,500,0,0,0
CuckooHashTable(p=2048 g=32),large_sizes,1.05197e+08,1.05197e+08,1.05197e+08,0,80800.9,16777216,500,0,6260813,0,136094048,500,500,0,0,0
CuckooHashTable(p=2048 g=64),large_sizes,5.62291e+07,5.62291e+07,5.62291e+07,0,151167,8388608,500,0,3374433,0,72675768,500,500,0,0,0
CuckooHashTable(p=4096 g=128),large_sizes,3.33556e+07,3.33556e+07,3.33556e+07,0,254830,4194304,500,0,1706095,0,36624256,500,500,0,0,0
CuckooHashTable(p=512 g=8),mixed_sizes,6.00883e+08,6.00883e+08,6.00883e+08,0,141459,67126334,5000,0,23247917,0,508227152,5000,5000,0,0,0
CuckooHashTable(p=1024 g=16),mixed_sizes,2.67108e+08,2.67108e+08,2.67108e+08,0,318223,33591758,5000,0,11858770,0,257961728,5000,5000,0,0,0
CuckooHashTable(p=1024 g=32),mixed_sizes,1.02363e+08,1.02363e+08,1.02363e+08,0,830380,16854798,5000,0,6205040,0,133493464,5000,5000,0,0,0
CuckooHashTable(p=2048 g=32),mixed_sizes,1.21824e+08,1.21824e+08,1.21824e+08,0,697730,16854798,5000,0,6418725,0,138171248,5000,5000,0,0,0
CuckooHashTable(p=2048 g=64),mixed_sizes,5.00504e+07,5.00504e+07,5.00504e+07,0,1.69829e+06,8544558,5000,0,3529336,0,74685648,5000,5000,0,0,0
CuckooHashTable(p=4096 g=128),mixed_sizes,3.37232e+07,3.37232e+07,3.37232e+07,0,2.52052e+06,4509166,5000,0,1861352,0,38644744,5000,5000,0,0,0
CuckooHashTable(p=512 g=8),realloc,4.76276e+07,4.76276e+07,4.76276e+07,0,3.77932e+06,8388608,5000,0,4232469,0,88290320,10000,10000,0,0,0
CuckooHashTable(p=1024 g=16),realloc,2.41251e+07,2.41251e+07,2.41251e+07,0,7.46111e+06,4194304,5000,0,2319848,0,47087352,10000,10000,0,0,0
CuckooHashTable(p=1024 g=32),realloc,1.53689e+07,1.53689e+07,1.53689e+07,0,1.1712e+07,2097152,5000,0,1312073,0,25357600,10000,10000,0,0,0
