impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
TwoLevelTable(p=2048g=8),small_sizes,1.31548e+07,0,1.53037e+08,4.0045e+07,1.29231e+09,0,0,0,43620746,43620746,43620746,1677721,1677721,0,0,0
TwoLevelTable(p=2048g=16),small_sizes,9.88632e+06,0,1.41671e+08,3.26021e+07,1.71955e+09,0,0,0,30758222,30758222,30758222,1398101,1398101,0,0,0
TwoLevelTable(p=2048g=32),small_sizes,7.56446e+06,0,1.43976e+08,3.13354e+07,2.24735e+09,0,0,0,20971520,20971520,20971520,1048576,1048576,0,0,0
TwoLevelTable(p=4096g=16),small_sizes,9.85344e+06,0,1.41189e+08,3.24923e+07,1.72529e+09,0,0,0,30758222,30758222,30758222,1398101,1398101,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,7.333e+06,0,1.399e+08,3.04485e+07,2.31829e+09,0,0,0,20971520,20971520,20971520,1048576,1048576,0,0,0
TwoLevelTable(p=8192g=32),small_sizes,7.28161e+06,0,1.38911e+08,3.02332e+07,2.33465e+09,0,0,0,20971520,20971520,20971520,1048576,1048576,0,0,0
TwoLevelTable(p=8192g=64),small_sizes,7.18552e+06,0,1.36449e+08,2.96971e+07,2.36587e+09,0,0,0,18874368,18874368,18874368,1048576,1048576,0,0,0
TwoLevelTable(p=16384g=64),small_sizes,7.20791e+06,0,1.37479e+08,2.99216e+07,2.35852e+09,0,0,0,18874368,18874368,18874368,1048576,1048576,0,0,0
TwoLevelTable(p=2048g=8),large_sizes,7.0364e+06,0,6.72437e+07,2.0089e+07,1.208e+06,0,0,0,16786864,16786864,16786864,1048,1048,0,0,0
TwoLevelTable(p=2048g=16),large_sizes,5.49038e+06,0,5.27454e+07,1.56795e+07,1.54816e+06,0,0,0,8402864,8402864,8402864,1048,1048,0,0,0
TwoLevelTable(p=2048g=32),large_sizes,4.66376e+06,0,4.44174e+07,1.32774e+07,1.82256e+06,0,0,0,4210864,4210864,4210864,1048,1048,0,0,0
TwoLevelTable(p=4096g=16),large_sizes,5.5094e+06,0,5.36539e+07,1.57417e+07,1.54282e+06,0,0,0,8402864,8402864,8402864,1048,1048,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,4.70221e+06,0,4.53355e+07,1.34334e+07,1.80766e+06,0,0,0,4210864,4210864,4210864,1048,1048,0,0,0
TwoLevelTable(p=8192g=32),large_sizes,4.64962e+06,0,4.47867e+07,1.32731e+07,1.82811e+06,0,0,0,4210864,4210864,4210864,1048,1048,0,0,0
TwoLevelTable(p=8192g=64),large_sizes,4.33029e+06,0,4.21794e+07,1.23917e+07,1.96292e+06,0,0,0,2112846,2112846,2112846,1047,1047,0,0,0
TwoLevelTable(p=16384g=64),large_sizes,4.24569e+06,0,4.08824e+07,1.21319e+07,2.00203e+06,0,0,0,2112846,2112846,2112846,1047,1047,0,0,0
TwoLevelTable(p=2048g=8),mixed_sizes,7.2591e+06,0,6.93843e+07,2.05921e+07,2.34189e+07,0,0,0,17112458,17112458,17112458,20958,20958,0,0,0
TwoLevelTable(p=2048g=16),mixed_sizes,5.5684e+06,0,5.34234e+07,1.59221e+07,3.05294e+07,0,0,0,8723400,8723400,8723400,20934,20934,0,0,0
TwoLevelTable(p=2048g=32),mixed_sizes,4.77594e+06,0,4.5959e+07,1.36838e+07,3.55951e+07,0,0,0,4528434,4528434,4528434,20884,20884,0,0,0
TwoLevelTable(p=4096g=16),mixed_sizes,5.5096e+06,0,5.2724e+07,1.57492e+07,3.08552e+07,0,0,0,8723400,8723400,8723400,20934,20934,0,0,0
TwoLevelTable(p=4096g=32),mixed_sizes,4.73603e+06,0,4.5653e+07,1.35737e+07,3.5895e+07,0,0,0,4528434,4528434,4528434,20884,20884,0,0,0
TwoLevelTable(p=8192g=32),mixed_sizes,4.73921e+06,0,4.54721e+07,1.35737e+07,3.5871e+07,0,0,0,4528434,4528434,4528434,20884,20884,0,0,0
TwoLevelTable(p=8192g=64),mixed_sizes,4.33672e+06,0,4.17585e+07,1.24859e+07,3.92001e+07,0,0,0,2429728,2429728,2429728,20787,20787,0,0,0
TwoLevelTable(p=16384g=64),mixed_sizes,4.31244e+06,0,4.16203e+07,1.24212e+07,3.94208e+07,0,0,0,2429728,2429728,2429728,20787,20787,0,0,0
TwoLevelTable(p=2048g=8),realloc,1.04411e+07,0,9.99859e+07,2.9864e+07,1.72395e+07,0,0,0,17111742,17111742,17111742,20919,20919,0,0,0
TwoLevelTable(p=2048g=16),realloc,8.21239e+06,0,7.89552e+07,2.35573e+07,2.19181e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
TwoLevelTable(p=2048g=32),realloc,7.07296e+06,0,6.82868e+07,2.03877e+07,2.5449e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=4096g=16),realloc,8.16486e+06,0,7.83062e+07,2.33854e+07,2.20457e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
TwoLevelTable(p=4096g=32),realloc,7.02296e+06,0,6.77047e+07,2.02385e+07,2.56302e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=8192g=32),realloc,7.04892e+06,0,6.78739e+07,2.02949e+07,2.55358e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=8192g=64),realloc,6.45252e+06,0,6.30352e+07,1.87896e+07,2.78961e+07,0,0,0,2426080,2426080,2426080,20560,20560,0,0,0
TwoLevelTable(p=16384g=64),realloc,6.32622e+06,0,6.168e+07,1.84067e+07,2.8453e+07,0,0,0,2426080,2426080,2426080,20560,20560,0,0,0
TwoLevelTable(p=2048g=8),random_access,7.10978e+06,0,6.79658e+07,2.0273e+07,2.39107e+07,0,0,0,17111742,17111742,17111742,20919,20919,0,0,0
TwoLevelTable(p=2048g=16),random_access,5.50234e+06,0,5.27838e+07,1.579e+07,3.08959e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
TwoLevelTable(p=2048g=32),random_access,4.73045e+06,0,4.55924e+07,1.36131e+07,3.59374e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=4096g=16),random_access,5.47844e+06,0,5.26297e+07,1.57118e+07,3.10307e+07,0,0,0,8722406,8722406,8722406,20867,20867,0,0,0
TwoLevelTable(p=4096g=32),random_access,4.70288e+06,0,4.54588e+07,1.35581e+07,3.61481e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=8192g=32),random_access,4.70382e+06,0,4.53806e+07,1.35541e+07,3.61409e+07,0,0,0,4526334,4526334,4526334,20763,20763,0,0,0
TwoLevelTable(p=8192g=64),random_access,4.3418e+06,0,4.24579e+07,1.26484e+07,3.91543e+07,0,0,0,2426080,2426080,2426080,20560,20560,0,0,0
TwoLevelTable(p=16384g=64),random_access,4.30698e+06,0,4.19276e+07,1.25374e+07,3.94708e+07,0,0,0,2426080,2426080,2426080,20560,20560,0,0,0
TwoLevelTable(p=2048g=8),global_random_access,1.5716e+07,0,1.55025e+08,4.602e+07,1.0817e+07,0,0,12,16787463,16787463,16787463,20919,20919,0,0,0
TwoLevelTable(p=2048g=16),global_random_access,1.41775e+07,0,1.41544e+08,4.1695e+07,1.19908e+07,0,0,27,8398940,8398940,8398940,20867,20867,0,0,0
TwoLevelTable(p=2048g=32),global_random_access,1.33969e+07,0,1.32917e+08,3.95363e+07,1.26895e+07,0,0,41,4204487,4204487,4204487,20763,20763,0,0,0
TwoLevelTable(p=4096g=16),global_random_access,1.41111e+07,0,1.40959e+08,4.14766e+07,1.20473e+07,0,0,27,8398940,8398940,8398940,20867,20867,0,0,0
