impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_sizes,6.64261e+06,0,9.47186e+07,2.1844e+07,2.55923e+09,0,0,0,44739232,0,44739232,1398101,1398101,0,0,0
BasicShadow(g=8),small_sizes,6.71038e+06,0,9.58815e+07,2.20924e+07,2.53339e+09,0,0,0,36350626,0,36350626,1398101,1398101,0,0,0
BasicShadow(g=16),small_sizes,6.621e+06,0,9.46071e+07,2.17985e+07,2.56759e+09,0,0,0,30758222,0,30758222,1398101,1398101,0,0,0
BasicShadow(g=32),small_sizes,6.73946e+06,0,9.60583e+07,2.21572e+07,2.52246e+09,0,0,0,27962020,0,27962020,1398101,1398101,0,0,0
BasicShadow(g=64),small_sizes,6.86264e+06,0,9.7493e+07,2.25208e+07,2.47718e+09,0,0,0,26563918,0,26563918,1398101,1398101,0,0,0
BasicShadow(g=128),small_sizes,6.91408e+06,0,1.00079e+08,2.29336e+07,2.45875e+09,0,0,0,25864868,0,25864868,1398101,1398101,0,0,0
BasicShadow(g=4),large_sizes,3.95792e+06,0,3.79668e+07,1.12956e+07,2.14759e+06,0,0,0,33552768,0,33552768,1048,1048,0,0,0
BasicShadow(g=8),large_sizes,3.97536e+06,0,3.80329e+07,1.13634e+07,2.13817e+06,0,0,0,16786864,0,16786864,1048,1048,0,0,0
BasicShadow(g=16),large_sizes,3.92852e+06,0,3.75797e+07,1.11745e+07,2.16367e+06,0,0,0,8402864,0,8402864,1048,1048,0,0,0
BasicShadow(g=32),large_sizes,3.91938e+06,0,3.75042e+07,1.11937e+07,2.16871e+06,0,0,0,4210864,0,4210864,1048,1048,0,0,0
BasicShadow(g=64),large_sizes,3.92033e+06,0,3.76575e+07,1.11935e+07,2.16818e+06,0,0,0,2114864,0,2114864,1048,1048,0,0,0
BasicShadow(g=128),large_sizes,3.92302e+06,0,3.77839e+07,1.1207e+07,2.1667e+06,0,0,0,1066864,0,1066864,1048,1048,0,0,0
BasicShadow(g=4),mixed_sizes,3.97435e+06,0,3.79437e+07,1.13401e+07,4.27743e+07,0,0,0,33783748,0,33783748,20934,20934,0,0,0
BasicShadow(g=8),mixed_sizes,3.96756e+06,0,3.80031e+07,1.13445e+07,4.28475e+07,0,0,0,17090714,0,17090714,20934,20934,0,0,0
BasicShadow(g=16),mixed_sizes,4.01043e+06,0,3.84986e+07,1.14647e+07,4.23895e+07,0,0,0,8723400,0,8723400,20934,20934,0,0,0
BasicShadow(g=32),mixed_sizes,4.09342e+06,0,3.98742e+07,1.17005e+07,4.153e+07,0,0,0,4550140,0,4550140,20934,20934,0,0,0
BasicShadow(g=64),mixed_sizes,4.02606e+06,0,3.90681e+07,1.15182e+07,4.22249e+07,0,0,0,2463676,0,2463676,20934,20934,0,0,0
BasicShadow(g=128),mixed_sizes,3.95493e+06,0,3.77848e+07,1.12903e+07,4.29843e+07,0,0,0,1420112,0,1420112,20934,20934,0,0,0
BasicShadow(g=4),realloc,5.94491e+06,0,5.73575e+07,1.70611e+07,3.0278e+07,0,0,0,33721072,0,33721072,20867,20867,0,0,0
BasicShadow(g=8),realloc,5.93241e+06,0,5.74516e+07,1.70423e+07,3.03418e+07,0,0,0,17069206,0,17069206,20867,20867,0,0,0
BasicShadow(g=16),realloc,5.92334e+06,0,5.68398e+07,1.69864e+07,3.03882e+07,0,0,0,8722406,0,8722406,20867,20867,0,0,0
BasicShadow(g=32),realloc,5.89944e+06,0,5.66511e+07,1.69318e+07,3.05114e+07,0,0,0,4549006,0,4549006,20867,20867,0,0,0
BasicShadow(g=64),realloc,6.01209e+06,0,5.76758e+07,1.72232e+07,2.99397e+07,0,0,0,2462306,0,2462306,20867,20867,0,0,0
BasicShadow(g=128),realloc,5.91045e+06,0,5.68217e+07,1.69371e+07,3.04545e+07,0,0,0,1418956,0,1418956,20867,20867,0,0,0
BasicShadow(g=4),random_access,4.00896e+06,0,3.89588e+07,1.14985e+07,4.24051e+07,0,0,0,33721072,0,33721072,20867,20867,0,0,0
BasicShadow(g=8),random_access,3.97226e+06,0,3.82684e+07,1.13638e+07,4.27967e+07,0,0,0,17069206,0,17069206,20867,20867,0,0,0
BasicShadow(g=16),random_access,3.94753e+06,0,3.79752e+07,1.1316e+07,4.30649e+07,0,0,0,8722406,0,8722406,20867,20867,0,0,0
BasicShadow(g=32),random_access,3.95038e+06,0,3.78977e+07,1.13273e+07,4.30339e+07,0,0,0,4549006,0,4549006,20867,20867,0,0,0
BasicShadow(g=64),random_access,3.96466e+06,0,3.82952e+07,1.13683e+07,4.28788e+07,0,0,0,2462306,0,2462306,20867,20867,0,0,0
BasicShadow(g=128),random_access,3.95268e+06,0,3.78955e+07,1.13346e+07,4.30088e+07,0,0,0,1418956,0,1418956,20867,20867,0,0,0
BasicShadow(g=4),global_random_access,1.13516e+07,0,1.12964e+08,3.34129e+07,1.49759e+07,0,0,0,33408067,0,33408067,20867,20867,0,0,0
BasicShadow(g=8),global_random_access,1.11526e+07,0,1.09829e+08,3.28164e+07,1.52431e+07,0,0,17,16756201,0,16756201,20867,20867,0,0,0
BasicShadow(g=16),global_random_access,1.10853e+07,0,1.09212e+08,3.26221e+07,1.53357e+07,0,0,27,8409401,0,8409401,20867,20867,0,0,0
BasicShadow(g=32),global_random_access,1.1406e+07,0,1.14624e+08,3.3472e+07,1.49044e+07,0,0,31,4236001,0,4236001,20867,20867,0,0,0
BasicShadow(g=64),global_random_access,1.1174e+07,0,1.0985e+08,3.28699e+07,1.52139e+07,0,0,57,2149301,0,2149301,20867,20867,0,0,0
BasicShadow(g=128),global_random_access,1.11586e+07,0,1.10005e+08,3.28489e+07,1.52349e+07,0,0,94,1105951,0,1105951,20867,20867,0,0,0
