impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
CuckooHashTable(p=512 g=8),small_sizes,1.22081e+08,0,1.86669e+09,4.19344e+08,1.39252e+08,0,0,0,127973913,0,2240031344,1677721,1677721,0,0,0
CuckooHashTable(p=1024 g=16),small_sizes,5.9446e+07,0,9.76458e+08,2.15399e+08,2.85974e+08,0,0,0,82062693,0,1348854016,1398101,1398101,0,0,0
CuckooHashTable(p=1024 g=32),small_sizes,4.16014e+07,0,8.11691e+08,1.76726e+08,4.0864e+08,0,0,0,58519510,0,962774448,1048576,1048576,0,0,0
CuckooHashTable(p=2048 g=32),small_sizes,4.20087e+07,0,8.19655e+08,1.7846e+08,4.04678e+08,0,0,0,58154384,0,955794520,1048576,1048576,0,0,0
CuckooHashTable(p=2048 g=64),small_sizes,2.1226e+07,0,4.10102e+08,8.92695e+07,8.00903e+08,0,0,0,45465972,0,680176232,1048576,1048576,0,0,0
CuckooHashTable(p=4096 g=128),small_sizes,1.09412e+07,0,2.18823e+08,4.76914e+07,1.55376e+09,0,0,0,23303755,0,351159520,524288,524288,0,0,0
CuckooHashTable(p=512 g=8),large_sizes,9.77312e+07,0,1.34541e+09,3.11159e+08,86973.2,0,0,0,72481867,0,1525323272,1048,1048,0,0,0
CuckooHashTable(p=1024 g=16),large_sizes,4.59121e+07,0,6.14278e+08,1.43842e+08,185136,0,0,0,36014552,0,757844256,1048,1048,0,0,0
CuckooHashTable(p=1024 g=32),large_sizes,2.02618e+07,0,2.43963e+08,6.05566e+07,419509,0,0,0,17459620,0,367584160,1048,1048,0,0,0
CuckooHashTable(p=2048 g=32),large_sizes,2.10139e+07,0,2.59014e+08,6.33816e+07,404494,0,0,0,17509524,0,369548456,1048,1048,0,0,0
CuckooHashTable(p=2048 g=64),large_sizes,1.03467e+07,0,1.23988e+08,3.07449e+07,821515,0,0,0,9156530,0,192248832,1047,1047,0,0,0
CuckooHashTable(p=4096 g=128),large_sizes,6.10182e+06,0,7.05613e+07,1.80071e+07,1.39303e+06,0,0,0,4874409,0,101683136,1046,1046,0,0,0
CuckooHashTable(p=512 g=8),mixed_sizes,9.81333e+07,0,1.34626e+09,3.11989e+08,1.73234e+06,0,0,0,73133732,0,1533556744,20958,20958,0,0,0
CuckooHashTable(p=1024 g=16),mixed_sizes,4.63091e+07,0,6.28589e+08,1.46254e+08,3.67099e+06,0,0,0,36661167,0,766016648,20934,20934,0,0,0
CuckooHashTable(p=1024 g=32),mixed_sizes,2.10336e+07,0,2.62861e+08,6.38461e+07,8.0823e+06,0,0,0,18105134,0,375774520,20884,20884,0,0,0
CuckooHashTable(p=2048 g=32),mixed_sizes,2.16637e+07,0,2.66029e+08,6.53909e+07,7.84721e+06,0,0,0,18154748,0,377731856,20884,20884,0,0,0
CuckooHashTable(p=2048 g=64),mixed_sizes,9.95815e+06,0,1.16231e+08,2.95094e+07,1.70714e+07,0,0,0,9801611,0,200453952,20787,20787,0,0,0
CuckooHashTable(p=4096 g=128),mixed_sizes,6.13666e+06,0,7.03211e+07,1.82004e+07,2.77024e+07,0,0,0,5490451,0,109275344,20576,20576,0,0,0
CuckooHashTable(p=512 g=8),realloc,7.55015e+07,0,8.48379e+08,2.21753e+08,2.38406e+06,0,0,0,57457271,0,1183126704,20919,20919,0,0,0
CuckooHashTable(p=1024 g=16),realloc,3.90871e+07,0,4.22222e+08,1.14051e+08,4.6051e+06,0,0,0,28888819,0,593363144,20867,20867,0,0,0
CuckooHashTable(p=1024 g=32),realloc,2.32681e+07,0,2.70113e+08,6.91113e+07,7.73591e+06,0,0,0,16576125,0,347715552,20763,20763,0,0,0
CuckooHashTable(p=2048 g=32),realloc,2.11307e+07,0,2.36236e+08,6.20979e+07,8.51841e+06,0,0,0,16211006,0,340829248,20763,20763,0,0,0
CuckooHashTable(p=2048 g=64),realloc,1.3016e+07,0,1.41981e+08,3.83186e+07,1.38292e+07,0,0,0,9128411,0,189152968,20560,20560,0,0,0
CuckooHashTable(p=4096 g=128),realloc,7.54186e+06,0,8.04138e+07,2.25034e+07,2.38668e+07,0,0,0,4394744,0,85518984,20164,20164,0,0,0
CuckooHashTable(p=512 g=8),random_access,1.00944e+08,0,1.38638e+09,3.21291e+08,1.6841e+06,0,0,0,73121278,0,1533273304,20919,20919,0,0,0
CuckooHashTable(p=1024 g=16),random_access,5.02094e+07,0,6.82023e+08,1.58834e+08,3.38582e+06,0,0,0,36664918,0,766130392,20867,20867,0,0,0
CuckooHashTable(p=1024 g=32),random_access,2.35482e+07,0,3.00338e+08,7.22998e+07,7.21924e+06,0,0,0,18115687,0,376074288,20763,20763,0,0,0
CuckooHashTable(p=2048 g=32),random_access,2.31405e+07,0,2.90404e+08,7.06398e+07,7.34642e+06,0,0,0,18165003,0,378024472,20763,20763,0,0,0
CuckooHashTable(p=2048 g=64),random_access,1.11867e+07,0,1.32459e+08,3.35497e+07,1.51966e+07,0,0,0,9795432,0,200389384,20560,20560,0,0,0
CuckooHashTable(p=4096 g=128),random_access,6.50762e+06,0,7.58806e+07,1.96789e+07,2.61232e+07,0,0,0,5464958,0,108815656,20164,20164,0,0,0
CuckooHashTable(p=512 g=8),global_random_access,1.09694e+08,0,1.47885e+09,3.46018e+08,1.54977e+06,0,0,12,72510409,0,1525813405,20919,20919,0,0,0
CuckooHashTable(p=1024 g=16),global_random_access,5.71986e+07,0,7.43327e+08,1.77177e+08,2.9721e+06,0,0,27,36055371,0,758684356,20867,20867,0,0,0
CuckooHashTable(p=1024 g=32),global_random_access,3.0877e+07,0,3.67094e+08,9.28952e+07,5.50571e+06,0,0,41,17508946,0,368659843,20763,20763,0,0,0
CuckooHashTable(p=2048 g=32),global_random_access,3.00848e+07,0,3.50898e+08,9.01393e+07,5.65069e+06,0,0,41,17558303,0,370611011,20763,20763,0,0,0
CuckooHashTable(p=2048 g=64),global_random_access,1.91824e+07,0,2.13761e+08,5.71973e+07,8.86229e+06,0,0,105,9194706,0,193049505,20560,20560,0,0,0
CuckooHashTable(p=4096 g=128),global_random_access,1.45999e+07,0,1.49932e+08,4.36465e+07,1.16439e+07,0,0,176,4876003,0,101622125,20164,20164,0,0,0
