impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_sizes,956190,925200,1.0839e+06,46228.1,1.77789e+08,0,10000,0,6400000,0,6400000,200000,200000,0,0,0
BasicShadow(g=8),small_sizes,956060,927800,1.0442e+06,39962.1,1.77813e+08,0,10000,0,5200000,0,5200000,200000,200000,0,0,0
BasicShadow(g=16),small_sizes,986110,923900,1.3082e+06,107475,1.72395e+08,0,10000,0,4400000,0,4400000,200000,200000,0,0,0
BasicShadow(g=32),small_sizes,980455,923300,1.0842e+06,45935.5,1.73389e+08,0,10000,0,4000000,0,4000000,200000,200000,0,0,0
BasicShadow(g=64),small_sizes,957490,947600,983200,8089.37,1.77548e+08,0,10000,0,3800000,0,3800000,200000,200000,0,0,0
BasicShadow(g=128),small_sizes,942070,930600,990700,16917.5,1.80454e+08,0,10000,0,3700000,0,3700000,200000,200000,0,0,0
TwoLevelTable(p=2048g=8),small_sizes,1.54928e+06,1.484e+06,1.8623e+06,86476.1,1.09728e+08,0,10000,0,5200000,5200000,5200000,200000,200000,0,0,0
TwoLevelTable(p=2048g=16),small_sizes,1.43045e+06,1.3713e+06,1.6646e+06,57834.3,1.18844e+08,0,10000,0,4400000,4400000,4400000,200000,200000,0,0,0
TwoLevelTable(p=2048g=32),small_sizes,1.41767e+06,1.3657e+06,1.6743e+06,80680.4,1.19915e+08,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=4096g=16),small_sizes,1.39794e+06,1.3373e+06,1.4879e+06,40928.1,1.21608e+08,0,10000,0,4400000,4400000,4400000,200000,200000,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,1.38389e+06,1.3561e+06,1.5477e+06,47761.2,1.22842e+08,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=8192g=32),small_sizes,1.39981e+06,1.3488e+06,1.6185e+06,59319.1,1.21445e+08,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=8192g=64),small_sizes,1.34128e+06,1.2977e+06,1.65e+06,75255.3,1.26745e+08,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=16384g=64),small_sizes,1.3239e+06,1.2963e+06,1.3548e+06,17800.4,1.28409e+08,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
BalancedTree,small_sizes,3.36604e+06,3.1781e+06,4.9245e+06,390677,5.05045e+07,0,10000,0,43685580,62976060,441541200,200000,200000,0,0,0
CuckooHashTable(p=512 g=8),small_sizes,4.02203e+06,2.8497e+06,7.2705e+06,1.14294e+06,4.22672e+07,0,10000,0,12137720,0,193338408,200000,200000,0,0,0
CuckooHashTable(p=1024 g=16),small_sizes,2.70736e+06,2.2883e+06,5.3833e+06,692850,6.27917e+07,0,10000,0,9953332,0,150571648,200000,200000,0,0,0
CuckooHashTable(p=1024 g=32),small_sizes,2.44678e+06,2.1349e+06,4.7876e+06,685732,6.94791e+07,0,10000,0,8769410,0,127164520,200000,200000,0,0,0
CuckooHashTable(p=2048 g=32),small_sizes,2.21304e+06,2.096e+06,3.0489e+06,206056,7.68174e+07,0,10000,0,8785077,0,127506768,200000,200000,0,0,0
CuckooHashTable(p=2048 g=64),small_sizes,1.89524e+06,1.7945e+06,2.3205e+06,129092,8.96986e+07,0,10000,0,7571452,0,103254608,200000,200000,0,0,0
CuckooHashTable(p=4096 g=128),small_sizes,2.62312e+06,2.5292e+06,3.1815e+06,149229,6.48084e+07,0,10000,0,7574213,0,103331056,200000,200000,0,0,0
BasicShadow(g=4),large_sizes,386845,368900,492100,30348.6,2.19726e+06,0,50,0,3216000,0,3216000,1000,1000,0,0,0
BasicShadow(g=8),large_sizes,380170,367500,485600,25427.7,2.23584e+06,0,50,0,1618000,0,1618000,1000,1000,0,0,0
BasicShadow(g=16),large_sizes,374535,366600,461000,19885.2,2.26948e+06,0,50,0,818000,0,818000,1000,1000,0,0,0
BasicShadow(g=32),large_sizes,377090,370700,455400,18039.3,2.2541e+06,0,50,0,418000,0,418000,1000,1000,0,0,0
BasicShadow(g=64),large_sizes,373120,370200,388300,3744.01,2.27809e+06,0,50,0,218000,0,218000,1000,1000,0,0,0
BasicShadow(g=128),large_sizes,375730,366400,462200,19910.5,2.26226e+06,0,50,0,118000,0,118000,1000,1000,0,0,0
TwoLevelTable(p=2048g=8),large_sizes,664080,641700,721800,17760.4,1.27997e+06,0,50,0,1618000,1618000,1618000,1000,1000,0,0,0
TwoLevelTable(p=2048g=16),large_sizes,535435,507100,638800,36763.9,1.58749e+06,0,50,0,818000,818000,818000,1000,1000,0,0,0
TwoLevelTable(p=2048g=32),large_sizes,447635,438900,458400,6576.42,1.89887e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=4096g=16),large_sizes,528490,499800,576500,24886.9,1.60836e+06,0,50,0,818000,818000,818000,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,454230,436300,536700,26060.7,1.8713e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=8192g=32),large_sizes,456325,434100,533800,32505,1.86271e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=8192g=64),large_sizes,410540,403800,440300,8004.27,2.07044e+06,0,50,0,218000,218000,218000,1000,1000,0,0,0
TwoLevelTable(p=16384g=64),large_sizes,413930,401500,511600,23304.2,2.05349e+06,0,50,0,218000,218000,218000,1000,1000,0,0,0
BalancedTree,large_sizes,375805,371800,381800,2554.89,2.26181e+06,0,50,0,85260,127500,873040,1000,1000,0,0,0
CuckooHashTable(p=512 g=8),large_sizes,1.62259e+06,1.386e+06,3.6047e+06,480774,523854,0,50,0,4854265,0,96643456,1000,1000,0,0,0
CuckooHashTable(p=1024 g=16),large_sizes,951690,773600,2.019e+06,325562,893148,0,50,0,2405692,0,47650488,1000,1000,0,0,0
CuckooHashTable(p=1024 g=32),large_sizes,581855,531000,1.1256e+06,130551,1.46085e+06,0,50,0,1222669,0,24072264,1000,1000,0,0,0
CuckooHashTable(p=2048 g=32),large_sizes,592105,530700,985500,106592,1.43556e+06,0,50,0,1210342,0,23795968,1000,1000,0,0,0
CuckooHashTable(p=2048 g=64),large_sizes,469265,446000,587500,39086.8,1.81134e+06,0,50,0,622201,0,12117824,1000,1000,0,0,0
CuckooHashTable(p=4096 g=128),large_sizes,412095,405900,436100,7993.15,2.06263e+06,0,50,0,287000,0,5296000,1000,1000,0,0,0
BasicShadow(g=4),mixed_sizes,472240,463800,536900,15724.3,3.59986e+07,0,1000,0,3530000,0,3530000,20000,20000,0,0,0
BasicShadow(g=8),mixed_sizes,475845,459000,587100,33106.4,3.57259e+07,0,1000,0,1954560,0,1954560,20000,20000,0,0,0
BasicShadow(g=16),mixed_sizes,473685,459900,515900,18284.7,3.58888e+07,0,1000,0,1147000,0,1147000,20000,20000,0,0,0
BasicShadow(g=32),mixed_sizes,468825,457500,576400,25211.2,3.62609e+07,0,1000,0,753500,0,753500,20000,20000,0,0,0
BasicShadow(g=64),mixed_sizes,465555,457900,490300,7506.56,3.65156e+07,0,1000,0,556750,0,556750,20000,20000,0,0,0
BasicShadow(g=128),mixed_sizes,473290,457500,587500,32481.8,3.59188e+07,0,1000,0,458348,0,458348,20000,20000,0,0,0
TwoLevelTable(p=2048g=8),mixed_sizes,861095,746600,975700,95069.8,1.97423e+07,0,1000,0,1954560,1954560,1954560,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),mixed_sizes,648580,609400,762200,46054.2,2.62111e+07,0,1000,0,1147000,1147000,1147000,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),mixed_sizes,564845,537800,687000,38469.9,3.00968e+07,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),mixed_sizes,616640,597000,641900,12045.1,2.75688e+07,0,1000,0,1147000,1147000,1147000,20000,20000,0,0,0
TwoLevelTable(p=4096g=32),mixed_sizes,567610,539800,648900,30938.6,2.99501e+07,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=8192g=32),mixed_sizes,542870,527000,598400,17002.7,3.1315e+07,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=8192g=64),mixed_sizes,522630,514000,542600,6264.59,3.25278e+07,0,1000,0,541600,541600,541600,20000,20000,0,0,0
TwoLevelTable(p=16384g=64),mixed_sizes,526330,511000,569000,14386.2,3.22991e+07,0,1000,0,541600,541600,541600,20000,20000,0,0,0
BalancedTree,mixed_sizes,651570,632800,769400,36631.6,2.60908e+07,0,1000,0,3171500,4631100,32233040,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),mixed_sizes,1.80152e+06,1.5325e+06,3.7693e+06,600135,9.43645e+06,0,1000,0,5369007,0,101704968,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),mixed_sizes,1.14744e+06,988100,2.2462e+06,352444,1.48157e+07,0,1000,0,3082682,0,56606800,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),mixed_sizes,747595,704900,1.2606e+06,118718,2.27396e+07,0,1000,0,1898575,0,33048088,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),mixed_sizes,755040,704300,1.1068e+06,88470.3,2.25154e+07,0,1000,0,1891722,0,32903168,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),mixed_sizes,641300,624600,793000,36708.1,2.65087e+07,0,1000,0,1300218,0,21163032,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),mixed_sizes,634285,613400,768500,44551.1,2.68018e+07,0,1000,0,946300,0,13904960,20000,20000,0,0,0
BasicShadow(g=4),realloc,616720,577300,744800,32097.1,2.91867e+07,0,500,0,3520000,0,3520000,20000,20000,0,0,0
BasicShadow(g=8),realloc,611615,597700,634100,7360.93,2.94303e+07,0,500,0,1960000,0,1960000,20000,20000,0,0,0
BasicShadow(g=16),realloc,612830,584100,727900,28529.8,2.93719e+07,0,500,0,1160000,0,1160000,20000,20000,0,0,0
BasicShadow(g=32),realloc,610765,595900,635700,7866.34,2.94712e+07,0,500,0,760000,0,760000,20000,20000,0,0,0
BasicShadow(g=64),realloc,651100,597100,763900,50141.1,2.76455e+07,0,500,0,560000,0,560000,20000,20000,0,0,0
BasicShadow(g=128),realloc,620915,608700,684900,19054.3,2.89895e+07,0,500,0,460000,0,460000,20000,20000,0,0,0
TwoLevelTable(p=2048g=8),realloc,1.09654e+06,1.0429e+06,1.377e+06,69734.8,1.64153e+07,0,500,0,1960000,1960000,1960000,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),realloc,870420,839600,901500,16263.7,2.06797e+07,0,500,0,1160000,1160000,1160000,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),realloc,769535,755900,790800,9771.61,2.33907e+07,0,500,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),realloc,857455,837500,881200,13795.7,2.09924e+07,0,500,0,1160000,1160000,1160000,20000,20000,0,0,0
TwoLevelTable(p=4096g=32),realloc,778065,750400,873100,33134,2.31343e+07,0,500,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=8192g=32),realloc,771815,728500,846100,27500.8,2.33217e+07,0,500,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=8192g=64),realloc,771285,754500,867600,26295.2,2.33377e+07,0,500,0,560000,560000,560000,20000,20000,0,0,0
TwoLevelTable(p=16384g=64),realloc,756435,749100,784700,7914.31,2.37958e+07,0,500,0,560000,560000,560000,20000,20000,0,0,0
BalancedTree,realloc,823505,780900,1.027e+06,57416.2,2.18578e+07,0,500,0,2829000,4067400,28506720,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),realloc,1.95384e+06,1.7746e+06,2.9978e+06,340432,9.21263e+06,0,500,0,5230190,0,98537216,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),realloc,1.24338e+06,1.1484e+06,2.2283e+06,228247,1.44766e+07,0,500,0,2974024,0,53956616,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),realloc,953505,883500,1.1739e+06,91231.2,1.88777e+07,0,500,0,1888036,0,32675104,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),realloc,967505,908500,1.3101e+06,94819.1,1.86046e+07,0,500,0,1859746,0,31981016,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),realloc,864830,821000,963700,35530.2,2.08133e+07,0,500,0,1336082,0,21825968,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),realloc,792135,732800,972000,57612.5,2.27234e+07,0,500,0,942412,0,13817888,20000,20000,0,0,0
BasicShadow(g=4),random_access,461345,458000,468700,2362.73,3.68488e+07,0,1000,0,3520000,0,3520000,20000,20000,0,0,0
BasicShadow(g=8),random_access,465130,458700,489200,7963.49,3.65489e+07,0,1000,0,1960000,0,1960000,20000,20000,0,0,0
BasicShadow(g=16),random_access,476730,456200,568300,32403.8,3.56596e+07,0,1000,0,1160000,0,1160000,20000,20000,0,0,0
BasicShadow(g=32),random_access,460975,456400,495800,8300.47,3.68784e+07,0,1000,0,760000,0,760000,20000,20000,0,0,0
BasicShadow(g=64),random_access,463215,456600,516800,12508,3.67e+07,0,1000,0,560000,0,560000,20000,20000,0,0,0
BasicShadow(g=128),random_access,471045,460400,561900,22251.6,3.609e+07,0,1000,0,460000,0,460000,20000,20000,0,0,0
TwoLevelTable(p=2048g=8),random_access,762385,745800,790200,12351.8,2.22984e+07,0,1000,0,1960000,1960000,1960000,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),random_access,632150,614600,657400,14653.5,2.68924e+07,0,1000,0,1160000,1160000,1160000,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),random_access,565775,552300,632100,17559.9,3.00473e+07,0,1000,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),random_access,629360,604500,753300,31453,2.70116e+07,0,1000,0,1160000,1160000,1160000,20000,20000,0,0,0
TwoLevelTable(p=4096g=32),random_access,560525,546900,691000,30395.6,3.03287e+07,0,1000,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=8192g=32),random_access,563725,547000,618000,22070.2,3.01565e+07,0,1000,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=8192g=64),random_access,569575,549100,691200,35085.6,2.98468e+07,0,1000,0,560000,560000,560000,20000,20000,0,0,0
TwoLevelTable(p=16384g=64),random_access,557100,546600,631200,17553.1,3.05152e+07,0,1000,0,560000,560000,560000,20000,20000,0,0,0
BalancedTree,random_access,642875,626700,728500,21729.8,2.64437e+07,0,1000,0,3171500,4631100,32233040,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),random_access,1.78505e+06,1.4942e+06,3.9515e+06,632581,9.52354e+06,0,1000,0,5384271,0,102009288,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),random_access,1.19566e+06,995100,2.7005e+06,452212,1.4218e+07,0,1000,0,3080446,0,56373472,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),random_access,774405,727100,1.2267e+06,114479,2.19523e+07,0,1000,0,1955541,0,34213192,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),random_access,776670,729800,1.1672e+06,91492.4,2.18883e+07,0,1000,0,1953324,0,34179536,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),random_access,691210,668800,807100,32255,2.45946e+07,0,1000,0,1374564,0,22726536,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),random_access,618065,604200,726100,27247.1,2.75052e+07,0,1000,0,944848,0,13876352,20000,20000,0,0,0
BasicShadow(g=4),global_random_access,1.21577e+06,1.1849e+06,1.3476e+06,42368.5,1.39829e+07,0,1000,0,3220000,0,3220000,20000,20000,0,0,0
BasicShadow(g=8),global_random_access,1.20322e+06,1.1532e+06,1.3676e+06,42976.3,1.41288e+07,0,1000,0,1660000,0,1660000,20000,20000,0,0,0
BasicShadow(g=16),global_random_access,1.2586e+06,1.1316e+06,1.8102e+06,175090,1.35071e+07,0,1000,2,860000,0,860000,20000,20000,0,0,0
BasicShadow(g=32),global_random_access,1.19972e+06,1.1125e+06,1.3931e+06,51474.9,1.417e+07,0,1000,3,460000,0,460000,20000,20000,0,0,0
BasicShadow(g=64),global_random_access,1.19602e+06,1.0915e+06,1.2813e+06,36959,1.42139e+07,0,1000,5,260000,0,260000,20000,20000,0,0,0
BasicShadow(g=128),global_random_access,1.2001e+06,1.131e+06,1.2833e+06,31987.5,1.41654e+07,0,1000,11,160000,0,160000,20000,20000,0,0,0
TwoLevelTable(p=2048g=8),global_random_access,1.50035e+06,1.3492e+06,1.7801e+06,79056.9,1.13307e+07,0,1000,0,1641080,1641080,1641080,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),global_random_access,1.38146e+06,1.2358e+06,1.942e+06,136244,1.23058e+07,0,1000,2,841097,841097,841097,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),global_random_access,1.29854e+06,1.2454e+06,1.4728e+06,48408.1,1.30917e+07,0,1000,6,441144,441144,441144,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),global_random_access,1.34664e+06,1.3011e+06,1.4309e+06,30297.2,1.2624e+07,0,1000,2,841097,841097,841097,20000,20000,0,0,0
