impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
TwoLevelTable(p=2048g=8),small_sizes,1.52924e+06,1.472e+06,1.7889e+06,72441.6,1.11166e+08,0,10000,0,5200000,5200000,5200000,200000,200000,0,0,0
TwoLevelTable(p=2048g=16),small_sizes,1.42803e+06,1.369e+06,1.6661e+06,69696.7,1.19045e+08,0,10000,0,4400000,4400000,4400000,200000,200000,0,0,0
TwoLevelTable(p=2048g=32),small_sizes,1.39047e+06,1.3601e+06,1.4796e+06,35305.1,1.22261e+08,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=4096g=16),small_sizes,1.37781e+06,1.3402e+06,1.458e+06,26817.2,1.23384e+08,0,10000,0,4400000,4400000,4400000,200000,200000,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,1.37054e+06,1.3548e+06,1.4439e+06,20780.1,1.24038e+08,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=8192g=32),small_sizes,1.38154e+06,1.3514e+06,1.5334e+06,49057.4,1.23051e+08,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=8192g=64),small_sizes,1.32183e+06,1.2922e+06,1.3598e+06,20762.5,1.2861e+08,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=16384g=64),small_sizes,1.31943e+06,1.2909e+06,1.5764e+06,63481.4,1.28844e+08,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=2048g=8),large_sizes,671110,637600,763300,27659.2,1.26656e+06,0,50,0,1618000,1618000,1618000,1000,1000,0,0,0
TwoLevelTable(p=2048g=16),large_sizes,521085,507100,542000,8518.23,1.63121e+06,0,50,0,818000,818000,818000,1000,1000,0,0,0
TwoLevelTable(p=2048g=32),large_sizes,449705,440300,498100,11999.9,1.89013e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=4096g=16),large_sizes,523915,498500,644500,35653.6,1.6224e+06,0,50,0,818000,818000,818000,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,454230,438000,555600,27388,1.8713e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=8192g=32),large_sizes,441300,435700,480900,9847.44,1.92613e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=8192g=64),large_sizes,415645,402700,552100,31554.1,2.04501e+06,0,50,0,218000,218000,218000,1000,1000,0,0,0
TwoLevelTable(p=16384g=64),large_sizes,408105,402000,444000,8939.38,2.0828e+06,0,50,0,218000,218000,218000,1000,1000,0,0,0
TwoLevelTable(p=2048g=8),mixed_sizes,772175,745400,951900,43937.3,2.20157e+07,0,1000,0,1954560,1954560,1954560,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),mixed_sizes,618425,605500,648900,9438.16,2.74892e+07,0,1000,0,1147000,1147000,1147000,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),mixed_sizes,547180,535800,573300,10035.4,3.10684e+07,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),mixed_sizes,627035,600000,737800,38148.9,2.71117e+07,0,1000,0,1147000,1147000,1147000,20000,20000,0,0,0
TwoLevelTable(p=4096g=32),mixed_sizes,541135,532500,576700,9218.26,3.14155e+07,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=8192g=32),mixed_sizes,543060,526300,607100,19843.2,3.13041e+07,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=8192g=64),mixed_sizes,521855,513300,542400,7410.5,3.25761e+07,0,1000,0,541600,541600,541600,20000,20000,0,0,0
TwoLevelTable(p=16384g=64),mixed_sizes,517525,511200,527100,4653.8,3.28487e+07,0,1000,0,541600,541600,541600,20000,20000,0,0,0
TwoLevelTable(p=2048g=8),realloc,1.08702e+06,1.0526e+06,1.2057e+06,33585.8,1.6559e+07,0,500,0,1960000,1960000,1960000,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),realloc,884575,850800,978200,27345.2,2.03488e+07,0,500,0,1160000,1160000,1160000,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),realloc,784920,711600,874700,34359.1,2.29323e+07,0,500,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),realloc,860595,836400,891400,14251,2.09158e+07,0,500,0,1160000,1160000,1160000,20000,20000,0,0,0
TwoLevelTable(p=4096g=32),realloc,762490,684100,815100,23042.2,2.36069e+07,0,500,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=8192g=32),realloc,756080,744900,798800,11989.2,2.3807e+07,0,500,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=8192g=64),realloc,776585,751200,929400,41672.3,2.31784e+07,0,500,0,560000,560000,560000,20000,20000,0,0,0
TwoLevelTable(p=16384g=64),realloc,771395,750800,860100,29407.5,2.33343e+07,0,500,0,560000,560000,560000,20000,20000,0,0,0
TwoLevelTable(p=2048g=8),random_access,769030,738900,807700,17113.2,2.21058e+07,0,1000,0,1960000,1960000,1960000,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),random_access,624815,611300,678500,15727.5,2.72081e+07,0,1000,0,1160000,1160000,1160000,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),random_access,570115,552200,666100,23969,2.98185e+07,0,1000,0,760000,760000,760000,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),random_access,620045,604300,648900,13040.8,2.74174e+07,0,1000,0,1160000,1160000,1160000,20000,20000,0,0,0
