impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_sizes,955475,926100,1.2178e+06,61483.7,1.77922e+08,0,10000,0,6400000,0,6400000,200000,200000,0,0,0
BasicShadow(g=8),small_sizes,933590,921800,977500,12533.6,1.82093e+08,0,10000,0,5200000,0,5200000,200000,200000,0,0,0
BasicShadow(g=16),small_sizes,935845,922600,1.0177e+06,24301.7,1.81654e+08,0,10000,0,4400000,0,4400000,200000,200000,0,0,0
BasicShadow(g=32),small_sizes,999505,924300,1.2948e+06,96655.1,1.70084e+08,0,10000,0,4000000,0,4000000,200000,200000,0,0,0
BasicShadow(g=64),small_sizes,1.00156e+06,944800,1.2636e+06,88539.8,1.69734e+08,0,10000,0,3800000,0,3800000,200000,200000,0,0,0
BasicShadow(g=128),small_sizes,956590,927600,1.0819e+06,42265.5,1.77715e+08,0,10000,0,3700000,0,3700000,200000,200000,0,0,0
BasicShadow(g=4),large_sizes,382835,369800,478900,28600.6,2.22028e+06,0,50,0,3216000,0,3216000,1000,1000,0,0,0
BasicShadow(g=8),large_sizes,380595,367100,530900,34772.7,2.23335e+06,0,50,0,1618000,0,1618000,1000,1000,0,0,0
BasicShadow(g=16),large_sizes,372295,366300,391500,6354.09,2.28314e+06,0,50,0,818000,0,818000,1000,1000,0,0,0
BasicShadow(g=32),large_sizes,378830,370800,497300,27324.1,2.24375e+06,0,50,0,418000,0,418000,1000,1000,0,0,0
BasicShadow(g=64),large_sizes,372835,369700,389900,5219.13,2.27983e+06,0,50,0,218000,0,218000,1000,1000,0,0,0
BasicShadow(g=128),large_sizes,371630,364400,379100,2842.55,2.28722e+06,0,50,0,118000,0,118000,1000,1000,0,0,0
BasicShadow(g=4),mixed_sizes,473650,466100,532500,14754.3,3.58915e+07,0,1000,0,3530000,0,3530000,20000,20000,0,0,0
BasicShadow(g=8),mixed_sizes,477570,465200,553200,22099.1,3.55969e+07,0,1000,0,1954560,0,1954560,20000,20000,0,0,0
BasicShadow(g=16),mixed_sizes,475055,463100,600000,30167,3.57853e+07,0,1000,0,1147000,0,1147000,20000,20000,0,0,0
BasicShadow(g=32),mixed_sizes,477025,462100,603100,35466,3.56375e+07,0,1000,0,753500,0,753500,20000,20000,0,0,0
BasicShadow(g=64),mixed_sizes,482320,463200,731100,58067.2,3.52463e+07,0,1000,0,556750,0,556750,20000,20000,0,0,0
BasicShadow(g=128),mixed_sizes,468950,457800,583500,27333.7,3.62512e+07,0,1000,0,458348,0,458348,20000,20000,0,0,0
BasicShadow(g=4),realloc,616970,582200,708700,23802.4,2.91748e+07,0,500,0,3520000,0,3520000,20000,20000,0,0,0
BasicShadow(g=8),realloc,609890,584800,687800,19214.1,2.95135e+07,0,500,0,1960000,0,1960000,20000,20000,0,0,0
BasicShadow(g=16),realloc,619845,606300,682300,19190.9,2.90395e+07,0,500,0,1160000,0,1160000,20000,20000,0,0,0
BasicShadow(g=32),realloc,630600,587700,806100,55618.7,2.85442e+07,0,500,0,760000,0,760000,20000,20000,0,0,0
BasicShadow(g=64),realloc,627475,609100,787500,45351.8,2.86864e+07,0,500,0,560000,0,560000,20000,20000,0,0,0
BasicShadow(g=128),realloc,616725,608900,656000,9754.58,2.91864e+07,0,500,0,460000,0,460000,20000,20000,0,0,0
BasicShadow(g=4),random_access,478425,462200,695800,50836.8,3.55333e+07,0,1000,0,3520000,0,3520000,20000,20000,0,0,0
BasicShadow(g=8),random_access,468610,463100,513200,12441.9,3.62775e+07,0,1000,0,1960000,0,1960000,20000,20000,0,0,0
BasicShadow(g=16),random_access,474415,462200,610300,32212.4,3.58336e+07,0,1000,0,1160000,0,1160000,20000,20000,0,0,0
BasicShadow(g=32),random_access,474090,462300,556600,25127.8,3.58582e+07,0,1000,0,760000,0,760000,20000,20000,0,0,0
BasicShadow(g=64),random_access,471980,462400,508100,13783.7,3.60185e+07,0,1000,0,560000,0,560000,20000,20000,0,0,0
BasicShadow(g=128),random_access,465205,459100,490500,8653.7,3.6543e+07,0,1000,0,460000,0,460000,20000,20000,0,0,0
BasicShadow(g=4),global_random_access,1.47284e+06,1.1916e+06,1.8853e+06,256107,1.15423e+07,0,1000,0,3220000,0,3220000,20000,20000,0,0,0
BasicShadow(g=8),global_random_access,1.22414e+06,1.1074e+06,1.5741e+06,116045,1.38874e+07,0,1000,0,1660000,0,1660000,20000,20000,0,0,0
BasicShadow(g=16),global_random_access,1.21278e+06,1.07e+06,1.5535e+06,102976,1.40173e+07,0,1000,2,860000,0,860000,20000,20000,0,0,0
BasicShadow(g=32),global_random_access,1.24773e+06,1.1156e+06,1.6313e+06,131362,1.36247e+07,0,1000,3,460000,0,460000,20000,20000,0,0,0
BasicShadow(g=64),global_random_access,1.23816e+06,1.0797e+06,1.8426e+06,173010,1.373e+07,0,1000,5,260000,0,260000,20000,20000,0,0,0
BasicShadow(g=128),global_random_access,1.21435e+06,1.0845e+06,1.574e+06,95833.8,1.39993e+07,0,1000,11,160000,0,160000,20000,20000,0,0,0
