impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
CuckooHashTable(p=512 g=8),small_sizes,3.20681e+06,2.7747e+06,7.2181e+06,968215,5.30122e+07,0,10000,0,12137720,0,193338408,200000,200000,0,0,0
CuckooHashTable(p=1024 g=16),small_sizes,2.5647e+06,2.3181e+06,5.1496e+06,602771,6.62846e+07,0,10000,0,9953332,0,150571648,200000,200000,0,0,0
CuckooHashTable(p=1024 g=32),small_sizes,2.33038e+06,2.1155e+06,3.5663e+06,358164,7.29496e+07,0,10000,0,8769410,0,127164520,200000,200000,0,0,0
CuckooHashTable(p=2048 g=32),small_sizes,2.21402e+06,2.1e+06,2.9571e+06,189736,7.67836e+07,0,10000,0,8785077,0,127506768,200000,200000,0,0,0
CuckooHashTable(p=2048 g=64),small_sizes,1.91746e+06,1.8126e+06,2.199e+06,109945,8.86592e+07,0,10000,0,7571452,0,103254608,200000,200000,0,0,0
CuckooHashTable(p=4096 g=128),small_sizes,2.59908e+06,2.5154e+06,2.8507e+06,105138,6.54076e+07,0,10000,0,7574213,0,103331056,200000,200000,0,0,0
CuckooHashTable(p=512 g=8),large_sizes,1.59516e+06,1.382e+06,3.5146e+06,451997,532860,0,50,0,4854265,0,96643456,1000,1000,0,0,0
CuckooHashTable(p=1024 g=16),large_sizes,988655,783600,2.0847e+06,371721,859754,0,50,0,2405692,0,47650488,1000,1000,0,0,0
CuckooHashTable(p=1024 g=32),large_sizes,628075,530900,1.0863e+06,141692,1.35334e+06,0,50,0,1222669,0,24072264,1000,1000,0,0,0
CuckooHashTable(p=2048 g=32),large_sizes,569135,530200,916000,92163,1.49349e+06,0,50,0,1210342,0,23795968,1000,1000,0,0,0
CuckooHashTable(p=2048 g=64),large_sizes,479820,446100,652900,57946.1,1.7715e+06,0,50,0,622201,0,12117824,1000,1000,0,0,0
CuckooHashTable(p=4096 g=128),large_sizes,432050,406400,556900,44158.5,1.96736e+06,0,50,0,287000,0,5296000,1000,1000,0,0,0
CuckooHashTable(p=512 g=8),mixed_sizes,1.78466e+06,1.4671e+06,3.7734e+06,582204,9.5256e+06,0,1000,0,5369007,0,101704968,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),mixed_sizes,1.11862e+06,962900,1.9164e+06,276024,1.51973e+07,0,1000,0,3082682,0,56606800,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),mixed_sizes,782255,701300,1.2632e+06,140095,2.1732e+07,0,1000,0,1898575,0,33048088,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),mixed_sizes,780035,706900,1.0931e+06,123113,2.17939e+07,0,1000,0,1891722,0,32903168,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),mixed_sizes,821175,624900,2.206e+06,338958,2.0702e+07,0,1000,0,1300218,0,21163032,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),mixed_sizes,640365,612200,894900,60026.3,2.65474e+07,0,1000,0,946300,0,13904960,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),realloc,2.7443e+06,1.7895e+06,7.3539e+06,1.35608e+06,6.55906e+06,0,500,0,5230190,0,98537216,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),realloc,1.28892e+06,1.1392e+06,2.1582e+06,253074,1.39652e+07,0,500,0,2974024,0,53956616,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),realloc,1.00214e+06,860700,1.4541e+06,170034,1.79616e+07,0,500,0,1888036,0,32675104,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),realloc,989000,896800,1.4253e+06,145394,1.82002e+07,0,500,0,1859746,0,31981016,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),realloc,870755,842000,1.0708e+06,52887.5,2.06717e+07,0,500,0,1336082,0,21825968,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),realloc,825040,769900,1.149e+06,100321,2.18171e+07,0,500,0,942412,0,13817888,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),random_access,1.85488e+06,1.5029e+06,3.5286e+06,547860,9.16504e+06,0,1000,0,5384271,0,102009288,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),random_access,1.19768e+06,1.0088e+06,2.0543e+06,318844,1.41942e+07,0,1000,0,3080446,0,56373472,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),random_access,886130,734000,1.4498e+06,224802,1.91845e+07,0,1000,0,1955541,0,34213192,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),random_access,839995,735600,1.4663e+06,172012,2.02382e+07,0,1000,0,1953324,0,34179536,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),random_access,759135,681100,1.0135e+06,87495.1,2.23939e+07,0,1000,0,1374564,0,22726536,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),random_access,656710,614200,855200,70410.1,2.58866e+07,0,1000,0,944848,0,13876352,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),global_random_access,2.6856e+06,2.195e+06,4.7204e+06,755083,6.33006e+06,0,1000,0,4804181,0,94967177,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),global_random_access,1.89785e+06,1.6507e+06,2.87e+06,359252,8.9575e+06,0,1000,2,2500354,0,49331310,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),global_random_access,1.50974e+06,1.3903e+06,1.913e+06,144215,1.12602e+07,0,1000,6,1375447,0,27170986,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),global_random_access,1.49794e+06,1.4173e+06,1.8148e+06,119811,1.13489e+07,0,1000,6,1373248,0,27137762,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),global_random_access,1.39084e+06,1.347e+06,1.7254e+06,85385.5,1.22228e+07,0,1000,12,794466,0,15684243,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),global_random_access,1.3025e+06,1.173e+06,1.4646e+06,66164.7,1.30518e+07,0,1000,12,364789,0,6834995,20000,20000,0,0,0
