impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=15),small_sizes,6.96996e+07,6.90419e+07,7.0795e+07,478813,2.43904e+06,0,10000,0,4400000,0,4400000,200000,200000,0,0,0
BasicShadow(g=16),small_sizes,7.1235e+07,6.91695e+07,8.60834e+07,3.92368e+06,2.38647e+06,0,10000,0,4400000,0,4400000,200000,200000,0,0,0
BasicShadow(g=17),small_sizes,7.0734e+07,6.90596e+07,7.89845e+07,2.50851e+06,2.40337e+06,0,10000,0,4329400,0,4329400,200000,200000,0,0,0
TwoLevelTable(p=1500g=50),small_sizes,2.44216e+07,2.40236e+07,2.56489e+07,380606,6.96106e+06,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=2000g=50),small_sizes,2.44005e+07,2.4086e+07,2.54503e+07,323422,6.96707e+06,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=4000g=100),small_sizes,2.52114e+07,2.46385e+07,2.89994e+07,1.08924e+06,6.74297e+06,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,4.77908e+07,4.69295e+07,5.14663e+07,1.20618e+06,3.55717e+06,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=4500g=50),small_sizes,2.42311e+07,2.40036e+07,2.4876e+07,237434,7.01577e+06,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
BasicShadow(g=15),large_sizes,613090,601700,690500,19270.2,1.38642e+06,0,50,0,871160,0,871160,1000,1000,0,0,0
BasicShadow(g=16),large_sizes,615055,602900,685000,22524.4,1.38199e+06,0,50,0,818000,0,818000,1000,1000,0,0,0
BasicShadow(g=17),large_sizes,611950,602000,656500,11710.6,1.389e+06,0,50,0,770800,0,770800,1000,1000,0,0,0
TwoLevelTable(p=1500g=50),large_sizes,490740,486600,498400,2717.43,1.73208e+06,0,50,0,274000,274000,274000,1000,1000,0,0,0
TwoLevelTable(p=2000g=50),large_sizes,491915,485300,506600,4046.51,1.72794e+06,0,50,0,274000,274000,274000,1000,1000,0,0,0
TwoLevelTable(p=4000g=100),large_sizes,439165,430600,459800,7575.11,1.93549e+06,0,50,0,146000,146000,146000,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,553650,549200,565500,4209.81,1.53527e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=4500g=50),large_sizes,491195,487700,501700,3597.84,1.73047e+06,0,50,0,274000,274000,274000,1000,1000,0,0,0
