impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_allocs,6.99963e+07,6.91755e+07,7.25454e+07,814727,2.4287e+06,0,10000,0,6400000,0,6400000,200000,200000,0,0,0
BasicShadow(g=8),small_allocs,7.07751e+07,6.90507e+07,8.0265e+07,2.6015e+06,2.40197e+06,0,10000,0,5200000,0,5200000,200000,200000,0,0,0
BasicShadow(g=16),small_allocs,6.95949e+07,6.90287e+07,7.05778e+07,331489,2.44271e+06,0,10000,0,4400000,0,4400000,200000,200000,0,0,0
BasicShadow(g=32),small_allocs,7.08363e+07,6.94228e+07,7.63676e+07,1.82187e+06,2.3999e+06,0,10000,0,4000000,0,4000000,200000,200000,0,0,0
BasicShadow(g=64),small_allocs,7.02364e+07,6.91377e+07,7.30125e+07,965037,2.4204e+06,0,10000,0,3800000,0,3800000,200000,200000,0,0,0
BasicShadow(g=128),small_allocs,7.04584e+07,6.9376e+07,7.67661e+07,1.54898e+06,2.41277e+06,0,10000,0,3700000,0,3700000,200000,200000,0,0,0
BasicShadow(g=256),small_allocs,7.03715e+07,6.91913e+07,7.53989e+07,1.29639e+06,2.41575e+06,0,10000,0,3650000,0,3650000,200000,200000,0,0,0
BasicShadow(g=4),large_allocs,691790,683000,730500,13661.8,1.2287e+06,0,50,0,3216000,0,3216000,1000,1000,0,0,0
BasicShadow(g=8),large_allocs,668660,641700,807400,45596,1.2712e+06,0,50,0,1618000,0,1618000,1000,1000,0,0,0
BasicShadow(g=16),large_allocs,635660,620800,723100,25146,1.33719e+06,0,50,0,818000,0,818000,1000,1000,0,0,0
BasicShadow(g=32),large_allocs,632485,611200,763500,40605,1.34391e+06,0,50,0,418000,0,418000,1000,1000,0,0,0
