impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_sizes,1.52711e+08,1.48585e+08,1.62894e+08,3.65299e+06,1.11321e+06,16777216,10000,0,6400000,0,6400000,200000,200000,0,0,16777216
BasicShadow(g=8),small_sizes,1.51053e+08,1.48787e+08,1.57267e+08,2.48676e+06,1.12543e+06,8388608,10000,0,5200000,0,5200000,200000,200000,0,0,8388608
BasicShadow(g=16),small_sizes,1.49345e+08,1.48051e+08,1.59919e+08,2.5097e+06,1.13831e+06,4194304,10000,0,4400000,0,4400000,200000,200000,0,0,4194304
BasicShadow(g=32),small_sizes,1.48217e+08,1.47941e+08,1.48687e+08,225006,1.14697e+06,2097152,10000,0,4000000,0,4000000,200000,200000,0,0,2097152
BasicShadow(g=64),small_sizes,1.48155e+08,1.47906e+08,1.489e+08,250034,1.14745e+06,1368576,10000,0,3800000,0,3800000,200000,200000,0,0,1368576
BasicShadow(g=128),small_sizes,1.48212e+08,1.47893e+08,1.48831e+08,243146,1.147e+06,1484288,10000,0,3700000,0,3700000,200000,200000,0,0,1484288
BasicShadow(g=4),large_sizes,699735,692700,710500,4033.52,1.21475e+06,16777216,50,0,3216000,0,3216000,1000,1000,0,0,16777216
BasicShadow(g=8),large_sizes,654450,649500,675800,5554.68,1.2988e+06,8388608,50,0,1618000,0,1618000,1000,1000,0,0,8388608
BasicShadow(g=16),large_sizes,633085,623800,673500,10604.4,1.34263e+06,4194304,50,0,818000,0,818000,1000,1000,0,0,4194304
BasicShadow(g=32),large_sizes,616260,613600,622300,1726.09,1.37929e+06,2097152,50,0,418000,0,418000,1000,1000,0,0,2097152
BasicShadow(g=64),large_sizes,610405,605400,625800,4639.45,1.39252e+06,1048576,50,0,218000,0,218000,1000,1000,0,0,1048576
BasicShadow(g=128),large_sizes,610645,605500,642000,8385.07,1.39197e+06,524288,50,0,118000,0,118000,1000,1000,0,0,524288
BasicShadow(g=4),mixed_sizes,5.9848e+06,5.9549e+06,6.2471e+06,62464.9,2.84053e+06,16778687,1000,0,3530000,0,3530000,20000,20000,0,0,16778687
BasicShadow(g=8),mixed_sizes,5.93504e+06,5.9089e+06,6.0272e+06,28985,2.86434e+06,8392167,1000,0,1954560,0,1954560,20000,20000,0,0,8392167
