impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_sizes,1.4745e+06,1.4745e+06,1.4745e+06,0,1.15293e+08,0,10000,0,320000,0,320000,10000,10000,0,0,0
BasicShadow(g=8),small_sizes,1.0627e+06,1.0627e+06,1.0627e+06,0,1.5997e+08,0,10000,0,260000,0,260000,10000,10000,0,0,0
BasicShadow(g=16),small_sizes,976700,976700,976700,0,1.74055e+08,0,10000,0,220000,0,220000,10000,10000,0,0,0
BasicShadow(g=32),small_sizes,1.0437e+06,1.0437e+06,1.0437e+06,0,1.62882e+08,0,10000,0,200000,0,200000,10000,10000,0,0,0
BasicShadow(g=64),small_sizes,1.3041e+06,1.3041e+06,1.3041e+06,0,1.30358e+08,0,10000,0,190000,0,190000,10000,10000,0,0,0
BasicShadow(g=128),small_sizes,1.0332e+06,1.0332e+06,1.0332e+06,0,1.64537e+08,0,10000,0,185000,0,185000,10000,10000,0,0,0
BasicShadow(g=4),large_sizes,395400,395400,395400,0,2.14972e+06,0,50,0,160800,0,160800,50,50,0,0,0
BasicShadow(g=8),large_sizes,389400,389400,389400,0,2.18285e+06,0,50,0,80900,0,80900,50,50,0,0,0
BasicShadow(g=16),large_sizes,382200,382200,382200,0,2.22397e+06,0,50,0,40900,0,40900,50,50,0,0,0
BasicShadow(g=32),large_sizes,379600,379600,379600,0,2.2392e+06,0,50,0,20900,0,20900,50,50,0,0,0
BasicShadow(g=64),large_sizes,383600,383600,383600,0,2.21585e+06,0,50,0,10900,0,10900,50,50,0,0,0
BasicShadow(g=128),large_sizes,393700,393700,393700,0,2.159e+06,0,50,0,5900,0,5900,50,50,0,0,0
BasicShadow(g=4),mixed_sizes,589500,589500,589500,0,2.8838e+07,0,1000,0,176500,0,176500,1000,1000,0,0,0
BasicShadow(g=8),mixed_sizes,847300,847300,847300,0,2.00637e+07,0,1000,0,97728,0,97728,1000,1000,0,0,0
BasicShadow(g=16),mixed_sizes,705500,705500,705500,0,2.40964e+07,0,1000,0,57350,0,57350,1000,1000,0,0,0
BasicShadow(g=32),mixed_sizes,609900,609900,609900,0,2.78734e+07,0,1000,0,37654,0,37654,1000,1000,0,0,0
BasicShadow(g=64),mixed_sizes,616700,616700,616700,0,2.75661e+07,0,1000,0,27768,0,27768,1000,1000,0,0,0
BasicShadow(g=128),mixed_sizes,484200,484200,484200,0,3.51095e+07,0,1000,0,22894,0,22894,1000,1000,0,0,0
BasicShadow(g=4),realloc,719800,719800,719800,0,2.50069e+07,0,500,0,176000,0,176000,1000,1000,0,0,0
BasicShadow(g=8),realloc,647500,647500,647500,0,2.77992e+07,0,500,0,98000,0,98000,1000,1000,0,0,0
BasicShadow(g=16),realloc,871300,871300,871300,0,2.06588e+07,0,500,0,58000,0,58000,1000,1000,0,0,0
BasicShadow(g=32),realloc,628800,628800,628800,0,2.8626e+07,0,500,0,38000,0,38000,1000,1000,0,0,0
BasicShadow(g=64),realloc,639300,639300,639300,0,2.81558e+07,0,500,0,28000,0,28000,1000,1000,0,0,0
BasicShadow(g=128),realloc,663600,663600,663600,0,2.71248e+07,0,500,0,23000,0,23000,1000,1000,0,0,0
BasicShadow(g=4),random_access,553100,553100,553100,0,3.07359e+07,0,1000,0,176000,0,176000,1000,1000,0,0,0
BasicShadow(g=8),random_access,480800,480800,480800,0,3.53577e+07,0,1000,0,98000,0,98000,1000,1000,0,0,0
BasicShadow(g=16),random_access,614500,614500,614500,0,2.76648e+07,0,1000,0,58000,0,58000,1000,1000,0,0,0
BasicShadow(g=32),random_access,552100,552100,552100,0,3.07915e+07,0,1000,0,38000,0,38000,1000,1000,0,0,0
BasicShadow(g=64),random_access,510200,510200,510200,0,3.33203e+07,0,1000,0,28000,0,28000,1000,1000,0,0,0
BasicShadow(g=128),random_access,1.2562e+06,1.2562e+06,1.2562e+06,0,1.35329e+07,0,1000,0,23000,0,23000,1000,1000,0,0,0
BasicShadow(g=4),global_random_access,1.5107e+06,1.5107e+06,1.5107e+06,0,1.12531e+07,0,1000,0,161000,0,161000,1000,1000,0,0,0
BasicShadow(g=8),global_random_access,1.2465e+06,1.2465e+06,1.2465e+06,0,1.36382e+07,0,1000,0,83000,0,83000,1000,1000,0,0,0
BasicShadow(g=16),global_random_access,1.1929e+06,1.1929e+06,1.1929e+06,0,1.4251e+07,0,1000,0,43000,0,43000,1000,1000,0,0,0
BasicShadow(g=32),global_random_access,1.2037e+06,1.2037e+06,1.2037e+06,0,1.41231e+07,0,1000,0,23000,0,23000,1000,1000,0,0,0
BasicShadow(g=64),global_random_access,1.1356e+06,1.1356e+06,1.1356e+06,0,1.49701e+07,0,1000,0,13000,0,13000,1000,1000,0,0,0
BasicShadow(g=128),global_random_access,1.2198e+06,1.2198e+06,1.2198e+06,0,1.39367e+07,0,1000,0,8000,0,8000,1000,1000,0,0,0
