impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BasicShadow(g=4),small_sizes,5.09936e+07,5.09936e+07,5.09936e+07,0,1.66688e+08,0,500000,0,16000000,0,16000000,500000,500000,0,0,0
BasicShadow(g=8),small_sizes,5.31856e+07,5.31856e+07,5.31856e+07,0,1.59818e+08,0,500000,0,13000000,0,13000000,500000,500000,0,0,0
BasicShadow(g=16),small_sizes,5.39764e+07,5.39764e+07,5.39764e+07,0,1.57476e+08,0,500000,0,11000000,0,11000000,500000,500000,0,0,0
BasicShadow(g=32),small_sizes,5.25619e+07,5.25619e+07,5.25619e+07,0,1.61714e+08,0,500000,0,10000000,0,10000000,500000,500000,0,0,0
BasicShadow(g=64),small_sizes,5.38947e+07,5.38947e+07,5.38947e+07,0,1.57715e+08,0,500000,0,9500000,0,9500000,500000,500000,0,0,0
BasicShadow(g=128),small_sizes,5.52059e+07,5.52059e+07,5.52059e+07,0,1.53969e+08,0,500000,0,9250000,0,9250000,500000,500000,0,0,0
BasicShadow(g=4),large_sizes,1.97045e+07,1.97045e+07,1.97045e+07,0,431374,0,500,0,8008000,0,8008000,500,500,0,0,0
BasicShadow(g=8),large_sizes,2.07929e+07,2.07929e+07,2.07929e+07,0,408793,0,500,0,4009000,0,4009000,500,500,0,0,0
BasicShadow(g=16),large_sizes,1.96107e+07,1.96107e+07,1.96107e+07,0,433437,0,500,0,2009000,0,2009000,500,500,0,0,0
BasicShadow(g=32),large_sizes,1.99184e+07,1.99184e+07,1.99184e+07,0,426741,0,500,0,1009000,0,1009000,500,500,0,0,0
BasicShadow(g=64),large_sizes,1.89255e+07,1.89255e+07,1.89255e+07,0,449129,0,500,0,509000,0,509000,500,500,0,0,0
BasicShadow(g=128),large_sizes,1.90755e+07,1.90755e+07,1.90755e+07,0,445598,0,500,0,259000,0,259000,500,500,0,0,0
BasicShadow(g=4),mixed_sizes,2.0528e+07,2.0528e+07,2.0528e+07,0,4.14069e+06,0,5000,0,8080302,0,8080302,5000,5000,0,0,0
BasicShadow(g=8),mixed_sizes,2.02292e+07,2.02292e+07,2.02292e+07,0,4.20185e+06,0,5000,0,4087658,0,4087658,5000,5000,0,0,0
BasicShadow(g=16),mixed_sizes,2.09724e+07,2.09724e+07,2.09724e+07,0,4.05295e+06,0,5000,0,2086404,0,2086404,5000,5000,0,0,0
BasicShadow(g=32),mixed_sizes,1.96777e+07,1.96777e+07,1.96777e+07,0,4.31961e+06,0,5000,0,1088286,0,1088286,5000,5000,0,0,0
BasicShadow(g=64),mixed_sizes,1.94484e+07,1.94484e+07,1.94484e+07,0,4.37054e+06,0,5000,0,589186,0,589186,5000,5000,0,0,0
