impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
CuckooHashTable(p=512 g=8),small_sizes,2.02815e+08,1.96812e+08,2.21985e+08,5.7357e+06,838201,2097152,10000,0,23280739,0,193065240,200000,200000,0,0,2097152
CuckooHashTable(p=1024 g=16),small_sizes,1.51672e+08,1.49728e+08,1.53937e+08,919250,1.12084e+06,1048576,10000,0,19086176,0,147826000,200000,200000,0,0,1048576
CuckooHashTable(p=1024 g=32),small_sizes,1.2833e+08,1.26745e+08,1.30326e+08,1.03274e+06,1.32471e+06,524288,10000,0,17068746,0,126228632,200000,200000,0,0,524288
CuckooHashTable(p=2048 g=32),small_sizes,1.28977e+08,1.26735e+08,1.3354e+08,1.94797e+06,1.31806e+06,524288,10000,0,17151899,0,127240560,200000,200000,0,0,524288
CuckooHashTable(p=2048 g=64),small_sizes,1.04155e+08,1.03724e+08,1.05586e+08,503762,1.63218e+06,582144,10000,0,14950342,0,103324832,200000,200000,0,0,582144
CuckooHashTable(p=4096 g=128),small_sizes,1.05439e+08,1.04802e+08,1.06552e+08,500522,1.61231e+06,1222144,10000,0,14931803,0,103123840,200000,200000,0,0,1222144
CuckooHashTable(p=512 g=8),large_sizes,2.0082e+06,1.8421e+06,3.9198e+06,460084,423265,1048576,50,0,8724195,0,94318840,1000,1000,0,0,1048576
CuckooHashTable(p=1024 g=16),large_sizes,1.08346e+06,1.0069e+06,2.0247e+06,223653,784524,524288,50,0,4346592,0,46782784,1000,1000,0,0,524288
CuckooHashTable(p=1024 g=32),large_sizes,680160,646600,1.1536e+06,110077,1.24971e+06,262144,50,0,2186824,0,23364648,1000,1000,0,0,262144
CuckooHashTable(p=2048 g=32),large_sizes,677460,652000,1.0683e+06,89995.7,1.25469e+06,262144,50,0,2227522,0,23870992,1000,1000,0,0,262144
CuckooHashTable(p=2048 g=64),large_sizes,516525,504800,675800,36697.8,1.64561e+06,131072,50,0,1120509,0,11838224,1000,1000,0,0,131072
CuckooHashTable(p=4096 g=128),large_sizes,442885,439500,450500,3219.83,1.91923e+06,131072,50,0,523000,0,5296000,1000,1000,0,0,131072
CuckooHashTable(p=512 g=8),mixed_sizes,1.1915e+07,1.15079e+07,1.37838e+07,499611,1.42677e+06,1052135,1000,0,10173261,0,104520272,20000,20000,0,0,1052135
CuckooHashTable(p=1024 g=16),mixed_sizes,6.60191e+06,6.4632e+06,7.5469e+06,229201,2.57501e+06,531847,1000,0,5738768,0,56346896,20000,20000,0,0,531847
CuckooHashTable(p=1024 g=32),mixed_sizes,3.95329e+06,3.8798e+06,4.4598e+06,142785,4.30022e+06,277399,1000,0,3529006,0,32351872,20000,20000,0,0,277399
CuckooHashTable(p=2048 g=32),mixed_sizes,3.9586e+06,3.8884e+06,4.3164e+06,109706,4.29445e+06,277399,1000,0,3583966,0,33029360,20000,20000,0,0,277399
CuckooHashTable(p=2048 g=64),mixed_sizes,2.70394e+06,2.6739e+06,2.9348e+06,64007.1,6.28712e+06,162711,1000,0,2476185,0,20996736,20000,20000,0,0,162711
CuckooHashTable(p=4096 g=128),mixed_sizes,2.1101e+06,2.1002e+06,2.1296e+06,9957.73,8.05647e+06,194263,1000,0,1832100,0,13902080,20000,20000,0,0,194263
CuckooHashTable(p=512 g=8),realloc,6.73038e+06,6.5782e+06,7.7246e+06,261577,2.67444e+06,524288,500,0,9530631,0,96958104,20000,20000,0,0,524288
