impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
CuckooHashTable(p=512 g=8),small_sizes,2.05358e+11,2.05358e+11,2.05358e+11,0,41391.2,67108864,500000,0,42252251,0,770263064,500000,500000,0,0,67108864
CuckooHashTable(p=1024 g=16),small_sizes,2.0406e+11,2.0406e+11,2.0406e+11,0,41654.5,33554432,500000,0,31406312,0,533019584,500000,500000,0,0,33554432
CuckooHashTable(p=1024 g=32),small_sizes,2.05739e+11,2.05739e+11,2.05739e+11,0,41314.5,33554432,500000,0,27680406,0,455597840,500000,500000,0,0,33554432
CuckooHashTable(p=2048 g=32),small_sizes,2.0211e+11,2.0211e+11,2.0211e+11,0,42056.2,33554432,500000,0,27667892,0,456064104,500000,500000,0,0,33554432
CuckooHashTable(p=2048 g=64),small_sizes,2.01659e+11,2.01659e+11,2.01659e+11,0,42150.5,32777216,500000,0,22242561,0,335852000,500000,500000,0,0,32777216
CuckooHashTable(p=4096 g=128),small_sizes,2.02006e+11,2.02006e+11,2.02006e+11,0,42077.9,64777216,500000,0,22387261,0,338684560,500000,500000,0,0,64777216
CuckooHashTable(p=512 g=8),large_sizes,6.40791e+08,6.40791e+08,6.40791e+08,0,13264.9,67108864,500,0,23085197,0,506057768,500,500,0,0,67108864
CuckooHashTable(p=1024 g=16),large_sizes,2.87158e+08,2.87158e+08,2.87158e+08,0,29600.5,33554432,500,0,11698013,0,255824408,500,500,0,0,33554432
CuckooHashTable(p=1024 g=32),large_sizes,1.29079e+08,1.29079e+08,1.29079e+08,0,65851,16777216,500,0,6049239,0,131466928,500,500,0,0,16777216
CuckooHashTable(p=2048 g=32),large_sizes,1.28668e+08,1.28668e+08,1.28668e+08,0,66061.7,16777216,500,0,6260813,0,136094048,500,500,0,0,16777216
CuckooHashTable(p=2048 g=64),large_sizes,5.98802e+07,5.98802e+07,5.98802e+07,0,141950,8388608,500,0,3374433,0,72675768,500,500,0,0,8388608
CuckooHashTable(p=4096 g=128),large_sizes,3.41355e+07,3.41355e+07,3.41355e+07,0,249008,4194304,500,0,1706095,0,36624256,500,500,0,0,4194304
CuckooHashTable(p=512 g=8),mixed_sizes,6.54999e+08,6.54999e+08,6.54999e+08,0,129771,67126334,5000,0,23247917,0,508227152,5000,5000,0,0,67126334
CuckooHashTable(p=1024 g=16),mixed_sizes,3.04309e+08,3.04309e+08,3.04309e+08,0,279321,33591758,5000,0,11858770,0,257961728,5000,5000,0,0,33591758
CuckooHashTable(p=1024 g=32),mixed_sizes,1.45812e+08,1.45812e+08,1.45812e+08,0,582944,16854798,5000,0,6205040,0,133493464,5000,5000,0,0,16854798
CuckooHashTable(p=2048 g=32),mixed_sizes,1.50431e+08,1.50431e+08,1.50431e+08,0,565043,16854798,5000,0,6418725,0,138171248,5000,5000,0,0,16854798
CuckooHashTable(p=2048 g=64),mixed_sizes,8.30626e+07,8.30626e+07,8.30626e+07,0,1.02332e+06,8544558,5000,0,3529336,0,74685648,5000,5000,0,0,8544558
CuckooHashTable(p=4096 g=128),mixed_sizes,5.51179e+07,5.51179e+07,5.51179e+07,0,1.54215e+06,4509166,5000,0,1861352,0,38644744,5000,5000,0,0,4509166
CuckooHashTable(p=512 g=8),realloc,4.22834e+08,4.22834e+08,4.22834e+08,0,212850,33554432,2500,0,16037904,0,344233296,5000,5000,0,0,33554432
CuckooHashTable(p=1024 g=16),realloc,2.92391e+08,2.92391e+08,2.92391e+08,0,307807,33554432,2500,0,10315690,0,229989512,5000,5000,0,0,33554432
CuckooHashTable(p=1024 g=32),realloc,1.39064e+08,1.39064e+08,1.39064e+08,0,647185,16777216,2500,0,5584916,0,122918800,5000,5000,0,0,16777216
CuckooHashTable(p=2048 g=32),realloc,1.14367e+08,1.14367e+08,1.14367e+08,0,786939,8388608,2500,0,4667119,0,98313864,5000,5000,0,0,8388608
CuckooHashTable(p=2048 g=64),realloc,6.84986e+07,6.84986e+07,6.84986e+07,0,1.3139e+06,4194304,2500,0,2446273,0,50757224,5000,5000,0,0,4194304
CuckooHashTable(p=4096 g=128),realloc,5.09874e+07,5.09874e+07,5.09874e+07,0,1.76514e+06,2097152,2500,0,1318102,0,26610896,5000,5000,0,0,2097152
CuckooHashTable(p=512 g=8),random_access,7.13969e+08,7.13969e+08,7.13969e+08,0,119053,67108864,5000,0,23254460,0,508356080,5000,5000,0,0,67108864
CuckooHashTable(p=1024 g=16),random_access,3.26657e+08,3.26657e+08,3.26657e+08,0,260212,33554432,5000,0,11869894,0,258185552,5000,5000,0,0,33554432
CuckooHashTable(p=1024 g=32),random_access,1.49387e+08,1.49387e+08,1.49387e+08,0,568993,16777216,5000,0,6215738,0,133698904,5000,5000,0,0,16777216
CuckooHashTable(p=2048 g=32),random_access,1.531e+08,1.531e+08,1.531e+08,0,555192,16777216,5000,0,6431000,0,138414536,5000,5000,0,0,16777216
CuckooHashTable(p=2048 g=64),random_access,8.38418e+07,8.38418e+07,8.38418e+07,0,1.01381e+06,8388608,5000,0,3541223,0,74914728,5000,5000,0,0,8388608
CuckooHashTable(p=4096 g=128),random_access,5.56024e+07,5.56024e+07,5.56024e+07,0,1.52871e+06,4194304,5000,0,1874562,0,38903464,5000,5000,0,0,4194304
CuckooHashTable(p=512 g=8),global_random_access,6.80854e+08,6.80854e+08,6.80854e+08,0,124843,67108864,5000,2,23108762,0,506579983,5000,5000,0,0,67108864
CuckooHashTable(p=1024 g=16),global_random_access,3.33144e+08,3.33144e+08,3.33144e+08,0,255145,33554432,5000,4,11724224,0,256410130,5000,5000,0,0,33554432
CuckooHashTable(p=1024 g=32),global_random_access,1.81489e+08,1.81489e+08,1.81489e+08,0,468348,16777216,5000,8,6070077,0,131923704,5000,5000,0,0,16777216
CuckooHashTable(p=2048 g=32),global_random_access,1.87548e+08,1.87548e+08,1.87548e+08,0,453217,16777216,5000,8,6285344,0,136639456,5000,5000,0,0,16777216
CuckooHashTable(p=2048 g=64),global_random_access,1.13252e+08,1.13252e+08,1.13252e+08,0,750539,8388608,5000,17,3395682,0,73142414,5000,5000,0,0,8388608
CuckooHashTable(p=4096 g=128),global_random_access,7.76727e+07,7.76727e+07,7.76727e+07,0,1.09434e+06,4194304,5000,28,1728991,0,37130440,5000,5000,0,0,4194304
