impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
CuckooHashTable(p=512 g=8),small_sizes,9.7735e+07,9.7735e+07,9.7735e+07,0,1.7394e+06,2097152,10000,0,1067312,0,20368616,10000,10000,0,0,2097152
CuckooHashTable(p=1024 g=16),small_sizes,9.08994e+07,9.08994e+07,9.08994e+07,0,1.8702e+06,1048576,10000,0,747506,0,13231824,10000,10000,0,0,1048576
CuckooHashTable(p=1024 g=32),small_sizes,8.90416e+07,8.90416e+07,8.90416e+07,0,1.90922e+06,524288,10000,0,560869,0,9153976,10000,10000,0,0,524288
CuckooHashTable(p=2048 g=32),small_sizes,8.70299e+07,8.70299e+07,8.70299e+07,0,1.95335e+06,524288,10000,0,553749,0,8994896,10000,10000,0,0,524288
CuckooHashTable(p=2048 g=64),small_sizes,9.42054e+07,9.42054e+07,9.42054e+07,0,1.80457e+06,582144,10000,0,428478,0,6303232,10000,10000,0,0,582144
CuckooHashTable(p=4096 g=128),small_sizes,8.6638e+07,8.6638e+07,8.6638e+07,0,1.96219e+06,1222144,10000,0,414473,0,5977296,10000,10000,0,0,1222144
CuckooHashTable(p=512 g=8),large_sizes,4.5356e+06,4.5356e+06,4.5356e+06,0,187406,1048576,50,0,485997,0,10417424,50,50,0,0,1048576
CuckooHashTable(p=1024 g=16),large_sizes,2.1667e+06,2.1667e+06,2.1667e+06,0,392302,524288,50,0,242786,0,5180384,50,50,0,0,524288
CuckooHashTable(p=1024 g=32),large_sizes,1.1664e+06,1.1664e+06,1.1664e+06,0,728738,262144,50,0,122611,0,2603272,50,50,0,0,262144
CuckooHashTable(p=2048 g=32),large_sizes,1.0966e+06,1.0966e+06,1.0966e+06,0,775123,262144,50,0,110252,0,2326208,50,50,0,0,262144
CuckooHashTable(p=2048 g=64),large_sizes,612300,612300,612300,0,1.38821e+06,131072,50,0,47239,0,971136,50,50,0,0,131072
CuckooHashTable(p=4096 g=128),large_sizes,433100,433100,433100,0,1.9626e+06,131072,50,0,14350,0,264800,50,50,0,0,131072
CuckooHashTable(p=512 g=8),mixed_sizes,7.4842e+06,7.4842e+06,7.4842e+06,0,2.27145e+06,1052135,1000,0,522605,0,10926880,1000,1000,0,0,1052135
CuckooHashTable(p=1024 g=16),mixed_sizes,3.7518e+06,3.7518e+06,3.7518e+06,0,4.53116e+06,531847,1000,0,277863,0,5657632,1000,1000,0,0,531847
CuckooHashTable(p=1024 g=32),mixed_sizes,2.7425e+06,2.7425e+06,2.7425e+06,0,6.19872e+06,277399,1000,0,156431,0,3052656,1000,1000,0,0,277399
CuckooHashTable(p=2048 g=32),mixed_sizes,2.6262e+06,2.6262e+06,2.6262e+06,0,6.47323e+06,277399,1000,0,144439,0,2784400,1000,1000,0,0,277399
CuckooHashTable(p=2048 g=64),mixed_sizes,1.6108e+06,1.6108e+06,1.6108e+06,0,1.05538e+07,162711,1000,0,81355,0,1428560,1000,1000,0,0,162711
CuckooHashTable(p=4096 g=128),mixed_sizes,1.654e+06,1.654e+06,1.654e+06,0,1.02781e+07,194263,1000,0,47309,0,695104,1000,1000,0,0,194263
CuckooHashTable(p=512 g=8),realloc,4.212e+06,4.212e+06,4.212e+06,0,4.2735e+06,524288,500,0,393193,0,8059928,1000,1000,0,0,524288
CuckooHashTable(p=1024 g=16),realloc,4.3473e+06,4.3473e+06,4.3473e+06,0,4.1405e+06,524288,500,0,245656,0,5043784,1000,1000,0,0,524288
CuckooHashTable(p=1024 g=32),realloc,2.1382e+06,2.1382e+06,2.1382e+06,0,8.4183e+06,131072,500,0,118991,0,2224336,1000,1000,0,0,131072
CuckooHashTable(p=2048 g=32),realloc,1.8352e+06,1.8352e+06,1.8352e+06,0,9.8082e+06,262144,500,0,136314,0,2626648,1000,1000,0,0,262144
CuckooHashTable(p=2048 g=64),realloc,1.3439e+06,1.3439e+06,1.3439e+06,0,1.33939e+07,65536,500,0,66672,0,1088128,1000,1000,0,0,65536
CuckooHashTable(p=4096 g=128),realloc,1.5326e+06,1.5326e+06,1.5326e+06,0,1.17447e+07,163072,500,0,47118,0,690832,1000,1000,0,0,163072
CuckooHashTable(p=512 g=8),random_access,5.4585e+06,5.4585e+06,5.4585e+06,0,3.11441e+06,1048576,1000,0,523657,0,10948864,1000,1000,0,0,1048576
CuckooHashTable(p=1024 g=16),random_access,3.1316e+06,3.1316e+06,3.1316e+06,0,5.42853e+06,524288,1000,0,280427,0,5711368,1000,1000,0,0,524288
CuckooHashTable(p=1024 g=32),random_access,2.4686e+06,2.4686e+06,2.4686e+06,0,6.88649e+06,262144,1000,0,159198,0,3108960,1000,1000,0,0,262144
CuckooHashTable(p=2048 g=32),random_access,2.3178e+06,2.3178e+06,2.3178e+06,0,7.33454e+06,262144,1000,0,147349,0,2844136,1000,1000,0,0,262144
CuckooHashTable(p=2048 g=64),random_access,1.8198e+06,1.8198e+06,1.8198e+06,0,9.34169e+06,131072,1000,0,85035,0,1505840,1000,1000,0,0,131072
CuckooHashTable(p=4096 g=128),random_access,1.5051e+06,1.5051e+06,1.5051e+06,0,1.12949e+07,195072,1000,0,47238,0,693712,1000,1000,0,0,195072
CuckooHashTable(p=512 g=8),global_random_access,5.7975e+06,5.7975e+06,5.7975e+06,0,2.9323e+06,1048576,1000,0,494626,0,10596121,1000,1000,0,0,1048576
CuckooHashTable(p=1024 g=16),global_random_access,4.1464e+06,4.1464e+06,4.1464e+06,0,4.09994e+06,524288,1000,0,251382,0,5358289,1000,1000,0,0,524288
CuckooHashTable(p=1024 g=32),global_random_access,4.3834e+06,4.3834e+06,4.3834e+06,0,3.87827e+06,262144,1000,0,130148,0,2755761,1000,1000,0,0,262144
CuckooHashTable(p=2048 g=32),global_random_access,3.6088e+06,3.6088e+06,3.6088e+06,0,4.71071e+06,262144,1000,0,118314,0,2491297,1000,1000,0,0,262144
CuckooHashTable(p=2048 g=64),global_random_access,2.4256e+06,2.4256e+06,2.4256e+06,0,7.00858e+06,131072,1000,0,56030,0,1153721,1000,1000,0,0,131072
CuckooHashTable(p=4096 g=128),global_random_access,2.0718e+06,2.0718e+06,2.0718e+06,0,8.20543e+06,195072,1000,0,18237,0,341689,1000,1000,0,0,195072
