impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
CuckooHashTable(p=512 g=8),small_sizes,1.19736e+08,1.17448e+08,1.26015e+08,2.32392e+06,1.41979e+06,0,10000,0,23280739,0,193065240,200000,200000,0,0,0
CuckooHashTable(p=1024 g=16),small_sizes,7.30636e+07,7.08272e+07,8.58593e+07,3.49313e+06,2.32674e+06,0,10000,0,19086176,0,147826000,200000,200000,0,0,0
CuckooHashTable(p=1024 g=32),small_sizes,4.84562e+07,4.76194e+07,4.9684e+07,382039,3.50832e+06,0,10000,0,17068746,0,126228632,200000,200000,0,0,0
CuckooHashTable(p=2048 g=32),small_sizes,4.8246e+07,4.77331e+07,4.9277e+07,312700,3.52361e+06,0,10000,0,17151899,0,127240560,200000,200000,0,0,0
CuckooHashTable(p=2048 g=64),small_sizes,2.51197e+07,2.47492e+07,2.56116e+07,250055,6.76759e+06,0,10000,0,14950342,0,103324832,200000,200000,0,0,0
CuckooHashTable(p=4096 g=128),small_sizes,2.656e+07,2.55132e+07,3.32901e+07,1.97342e+06,6.4006e+06,0,10000,0,14931803,0,103123840,200000,200000,0,0,0
CuckooHashTable(p=512 g=8),large_sizes,2.00412e+06,1.8374e+06,4.0383e+06,473494,424126,0,50,0,8724195,0,94318840,1000,1000,0,0,0
CuckooHashTable(p=1024 g=16),large_sizes,1.08052e+06,1.0112e+06,2.0506e+06,223785,786662,0,50,0,4346592,0,46782784,1000,1000,0,0,0
CuckooHashTable(p=1024 g=32),large_sizes,681690,646100,1.195e+06,118501,1.2469e+06,0,50,0,2186824,0,23364648,1000,1000,0,0,0
CuckooHashTable(p=2048 g=32),large_sizes,733185,649800,1.32e+06,180692,1.15933e+06,0,50,0,2227522,0,23870992,1000,1000,0,0,0
CuckooHashTable(p=2048 g=64),large_sizes,561300,503200,741700,74699.7,1.51434e+06,0,50,0,1120509,0,11838224,1000,1000,0,0,0
CuckooHashTable(p=4096 g=128),large_sizes,443125,438700,464000,5752.38,1.91819e+06,0,50,0,523000,0,5296000,1000,1000,0,0,0
CuckooHashTable(p=512 g=8),mixed_sizes,1.09942e+07,1.07335e+07,1.35707e+07,598073,1.54628e+06,0,1000,0,10173261,0,104520272,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),mixed_sizes,5.77214e+06,5.6089e+06,7.1333e+06,328254,2.94518e+06,0,1000,0,5738768,0,56346896,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),mixed_sizes,3.1752e+06,3.0901e+06,3.6647e+06,128396,5.35399e+06,0,1000,0,3529006,0,32351872,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),mixed_sizes,3.18902e+06,3.0967e+06,3.5819e+06,119803,5.33079e+06,0,1000,0,3583966,0,33029360,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),mixed_sizes,1.92868e+06,1.8886e+06,2.0954e+06,60564.2,8.8143e+06,0,1000,0,2476185,0,20996736,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),mixed_sizes,1.34986e+06,1.3175e+06,1.494e+06,48179.9,1.25939e+07,0,1000,0,1832100,0,13902080,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),realloc,6.36364e+06,6.1611e+06,7.53e+06,315114,2.82857e+06,0,500,0,9530631,0,96958104,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),realloc,3.52716e+06,3.4233e+06,3.9905e+06,142139,5.10326e+06,0,500,0,5400634,0,52310368,20000,20000,0,0,0
CuckooHashTable(p=1024 g=32),realloc,2.19526e+06,2.1264e+06,2.5415e+06,105122,8.19947e+06,0,500,0,3488370,0,31817552,20000,20000,0,0,0
CuckooHashTable(p=2048 g=32),realloc,2.16953e+06,2.1235e+06,2.3301e+06,55906.7,8.29673e+06,0,500,0,3454337,0,31424160,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),realloc,1.53931e+06,1.5143e+06,1.6569e+06,35163.5,1.16936e+07,0,500,0,2436480,0,20437760,20000,20000,0,0,0
CuckooHashTable(p=4096 g=128),realloc,1.15572e+06,1.1291e+06,1.2595e+06,43200.6,1.55746e+07,0,500,0,1820000,0,13760000,20000,20000,0,0,0
CuckooHashTable(p=512 g=8),random_access,1.11334e+07,1.08433e+07,1.35127e+07,559267,1.52694e+06,0,1000,0,10212849,0,104962688,20000,20000,0,0,0
CuckooHashTable(p=1024 g=16),random_access,5.8778e+06,5.7277e+06,7.0308e+06,283469,2.89224e+06,0,1000,0,5835018,0,57423896,20000,20000,0,0,0
