impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
BalancedTree,small_sizes,1.1922e+08,1.16861e+08,1.2927e+08,2.68375e+06,1.42593e+06,0,10000,0,43685580,62976060,441541200,200000,200000,0,0,0
CuckooHashTable(p=2048 g=64),small_sizes,2.51004e+07,2.4791e+07,2.65204e+07,388271,6.7728e+06,0,10000,0,7574378,0,103324832,200000,200000,0,0,0
BalancedTree,large_sizes,870705,836600,1.08e+06,63915,976220,0,50,0,85260,127500,873040,1000,1000,0,0,0
CuckooHashTable(p=2048 g=64),large_sizes,529585,505700,812600,65939.4,1.60503e+06,0,50,0,610551,0,11838224,1000,1000,0,0,0
BalancedTree,mixed_sizes,1.00155e+07,9.7927e+06,1.14829e+07,346040,1.69736e+06,0,1000,0,3171500,4631100,32233040,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),mixed_sizes,2.12022e+06,1.8961e+06,3.3651e+06,372978,8.01802e+06,0,1000,0,1293289,0,20996736,20000,20000,0,0,0
BalancedTree,realloc,5.69474e+06,5.421e+06,6.6137e+06,306355,3.16081e+06,0,500,0,2829000,4067400,28506720,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),realloc,1.55053e+06,1.5243e+06,1.7676e+06,52880.5,1.16089e+07,0,500,0,1278240,0,20437760,20000,20000,0,0,0
BalancedTree,random_access,1.00461e+07,9.8539e+06,1.04021e+07,151162,1.69219e+06,0,1000,0,3171500,4631100,32233040,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),random_access,3.03644e+06,2.0553e+06,5.0257e+06,978656,5.59867e+06,0,1000,0,1367193,0,22549632,20000,20000,0,0,0
BalancedTree,global_random_access,1.0609e+07,1.04207e+07,1.09598e+07,167388,1.60242e+06,0,1000,0,475280,1954860,10663280,20000,20000,0,0,0
CuckooHashTable(p=2048 g=64),global_random_access,2.63841e+06,2.6064e+06,2.8596e+06,59211.4,6.44327e+06,0,1000,0,787169,0,15509076,20000,20000,0,0,0
