impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
TwoLevelTable(p=2048g=8),small_sizes,3.4878e+08,3.42584e+08,3.65089e+08,5.90528e+06,487413,312320,10000,0,5200000,5200000,5200000,200000,200000,0,0,312320
TwoLevelTable(p=2048g=16),small_sizes,3.11884e+08,2.97979e+08,3.60298e+08,1.54811e+07,545074,292224,10000,0,4400000,4400000,4400000,200000,200000,0,0,292224
TwoLevelTable(p=2048g=32),small_sizes,2.86944e+08,2.74538e+08,3.38591e+08,1.47524e+07,592450,282176,10000,0,4000000,4000000,4000000,200000,200000,0,0,282176
TwoLevelTable(p=4096g=16),small_sizes,2.30293e+08,2.2306e+08,2.47645e+08,8.28242e+06,738191,161280,10000,0,4400000,4400000,4400000,200000,200000,0,0,161280
TwoLevelTable(p=4096g=32),small_sizes,2.00824e+08,1.99758e+08,2.03506e+08,955453,846513,151168,10000,0,4000000,4000000,4000000,200000,200000,0,0,151168
TwoLevelTable(p=8192g=32),small_sizes,1.66201e+08,1.62753e+08,1.88405e+08,6.10324e+06,1.02286e+06,85760,10000,0,4000000,4000000,4000000,200000,200000,0,0,85760
TwoLevelTable(p=8192g=64),small_sizes,1.4133e+08,1.40062e+08,1.51798e+08,2.49658e+06,1.20286e+06,395648,10000,0,3600000,3600000,3600000,200000,200000,0,0,395648
TwoLevelTable(p=16384g=64),small_sizes,1.22013e+08,1.21497e+08,1.23615e+08,523984,1.3933e+06,363008,10000,0,3600000,3600000,3600000,200000,200000,0,0,363008
TwoLevelTable(p=2048g=8),large_sizes,1.8914e+06,1.8271e+06,2.2398e+06,118395,449404,302336,50,0,1618000,1618000,1618000,1000,1000,0,0,302336
TwoLevelTable(p=2048g=16),large_sizes,1.52356e+06,1.469e+06,1.8777e+06,111430,557906,282240,50,0,818000,818000,818000,1000,1000,0,0,282240
TwoLevelTable(p=2048g=32),large_sizes,1.3387e+06,1.2878e+06,1.5843e+06,86930.1,634947,272256,50,0,418000,418000,418000,1000,1000,0,0,272256
TwoLevelTable(p=4096g=16),large_sizes,1.12262e+06,1.0983e+06,1.2368e+06,39712,757161,151296,50,0,818000,818000,818000,1000,1000,0,0,151296
TwoLevelTable(p=4096g=32),large_sizes,943380,918200,1.1611e+06,62166.7,901015,141184,50,0,418000,418000,418000,1000,1000,0,0,141184
TwoLevelTable(p=8192g=32),large_sizes,765365,736600,864600,43185.7,1.11058e+06,75776,50,0,418000,418000,418000,1000,1000,0,0,75776
TwoLevelTable(p=8192g=64),large_sizes,658745,647400,788700,30286.4,1.29033e+06,70656,50,0,218000,218000,218000,1000,1000,0,0,70656
TwoLevelTable(p=16384g=64),large_sizes,568750,556700,718100,35309.4,1.49451e+06,37888,50,0,218000,218000,218000,1000,1000,0,0,37888
TwoLevelTable(p=2048g=8),mixed_sizes,2.56752e+07,2.54136e+07,2.6483e+07,248755,662118,306663,1000,0,1954560,1954560,1954560,20000,20000,0,0,306663
TwoLevelTable(p=2048g=16),mixed_sizes,2.09817e+07,2.08081e+07,2.14049e+07,146565,810231,290439,1000,0,1147000,1147000,1147000,20000,20000,0,0,290439
TwoLevelTable(p=2048g=32),mixed_sizes,1.86482e+07,1.84813e+07,1.89501e+07,155169,911617,288023,1000,0,743160,743160,743160,20000,20000,0,0,288023
TwoLevelTable(p=4096g=16),mixed_sizes,1.352e+07,1.33728e+07,1.38151e+07,136817,1.2574e+06,159367,1000,0,1147000,1147000,1147000,20000,20000,0,0,159367
TwoLevelTable(p=4096g=32),mixed_sizes,1.11728e+07,1.10683e+07,1.15106e+07,111424,1.52156e+06,156951,1000,0,743160,743160,743160,20000,20000,0,0,156951
TwoLevelTable(p=8192g=32),mixed_sizes,7.44908e+06,7.3812e+06,7.5581e+06,67110.1,2.28216e+06,91543,1000,0,743160,743160,743160,20000,20000,0,0,91543
TwoLevelTable(p=8192g=64),mixed_sizes,6.29256e+06,6.2446e+06,6.5878e+06,83204.3,2.7016e+06,102807,1000,0,541600,541600,541600,20000,20000,0,0,102807
TwoLevelTable(p=16384g=64),mixed_sizes,4.46396e+06,4.4025e+06,4.6946e+06,87601.6,3.80828e+06,70039,1000,0,541600,541600,541600,20000,20000,0,0,70039
TwoLevelTable(p=2048g=8),realloc,2.10302e+07,2.08848e+07,2.18153e+07,205056,855910,282880,500,0,1960000,1960000,1960000,20000,20000,0,0,282880
TwoLevelTable(p=2048g=16),realloc,1.85794e+07,1.84426e+07,1.90517e+07,142691,968815,272768,500,0,1160000,1160000,1160000,20000,20000,0,0,272768
TwoLevelTable(p=2048g=32),realloc,1.73768e+07,1.72774e+07,1.768e+07,106652,1.03586e+06,267648,500,0,760000,760000,760000,20000,20000,0,0,267648
TwoLevelTable(p=4096g=16),realloc,1.11527e+07,1.10159e+07,1.15407e+07,147835,1.61396e+06,141824,500,0,1160000,1160000,1160000,20000,20000,0,0,141824
TwoLevelTable(p=4096g=32),realloc,9.94844e+06,9.8207e+06,1.02853e+07,132621,1.80933e+06,136576,500,0,760000,760000,760000,20000,20000,0,0,136576
TwoLevelTable(p=8192g=32),realloc,6.24348e+06,6.1324e+06,6.7253e+06,165227,2.88301e+06,71168,500,0,760000,760000,760000,20000,20000,0,0,71168
TwoLevelTable(p=8192g=64),realloc,5.6377e+06,5.5677e+06,5.9218e+06,99575.8,3.19279e+06,68608,500,0,560000,560000,560000,20000,20000,0,0,68608
TwoLevelTable(p=16384g=64),realloc,3.80748e+06,3.7217e+06,4.1662e+06,120193,4.72754e+06,35840,500,0,560000,560000,560000,20000,20000,0,0,35840
TwoLevelTable(p=2048g=8),random_access,2.57327e+07,2.55179e+07,2.60721e+07,149127,660638,303360,1000,0,1960000,1960000,1960000,20000,20000,0,0,303360
TwoLevelTable(p=2048g=16),random_access,2.11661e+07,2.09323e+07,2.20559e+07,294289,803171,283264,1000,0,1160000,1160000,1160000,20000,20000,0,0,283264
TwoLevelTable(p=2048g=32),random_access,1.88092e+07,1.86162e+07,1.91514e+07,173885,903812,273152,1000,0,760000,760000,760000,20000,20000,0,0,273152
TwoLevelTable(p=4096g=16),random_access,1.36095e+07,1.34587e+07,1.40856e+07,138767,1.24913e+06,152320,1000,0,1160000,1160000,1160000,20000,20000,0,0,152320
TwoLevelTable(p=4096g=32),random_access,1.16277e+07,1.11913e+07,1.63403e+07,1.14481e+06,1.46203e+06,142080,1000,0,760000,760000,760000,20000,20000,0,0,142080
TwoLevelTable(p=8192g=32),random_access,7.64895e+06,7.4767e+06,9.3482e+06,399576,2.22253e+06,76544,1000,0,760000,760000,760000,20000,20000,0,0,76544
TwoLevelTable(p=8192g=64),random_access,6.46338e+06,6.3911e+06,6.6802e+06,78536.2,2.6302e+06,71552,1000,0,560000,560000,560000,20000,20000,0,0,71552
TwoLevelTable(p=16384g=64),random_access,4.59911e+06,4.5516e+06,4.7137e+06,50410.6,3.69637e+06,38912,1000,0,560000,560000,560000,20000,20000,0,0,38912
TwoLevelTable(p=2048g=8),global_random_access,2.65417e+07,2.6173e+07,2.8109e+07,439455,640502,303360,1000,0,1640020,1640020,1640020,20000,20000,0,0,303360
TwoLevelTable(p=2048g=16),global_random_access,2.18735e+07,2.16025e+07,2.40381e+07,512507,777195,283264,1000,0,840020,840020,840020,20000,20000,0,0,283264
TwoLevelTable(p=2048g=32),global_random_access,1.94172e+07,1.91814e+07,1.97552e+07,193580,875511,273152,1000,0,440020,440020,440020,20000,20000,0,0,273152
