impl,workload,avg_latency_ns,min_latency_ns,max_latency_ns,stddev_latency_ns,throughput_ops_sec,memory_overhead_bytes,live_allocations,correctness_violations,tag_accesses,pointer_accesses,bytes_transferred,alloc_count,free_count,bytes_allocated,simulated_accesses,peak_overhead_bytes
TwoLevelTable(p=2048g=8),small_sizes,1.16895e+08,1.14801e+08,1.22468e+08,1.95964e+06,1.45429e+06,0,10000,0,5200000,5200000,5200000,200000,200000,0,0,0
TwoLevelTable(p=2048g=16),small_sizes,7.06165e+07,6.9243e+07,7.42445e+07,1.49829e+06,2.40737e+06,0,10000,0,4400000,4400000,4400000,200000,200000,0,0,0
TwoLevelTable(p=2048g=32),small_sizes,4.85002e+07,4.71822e+07,5.30724e+07,1.37486e+06,3.50514e+06,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=4096g=16),small_sizes,7.26344e+07,6.99421e+07,7.70448e+07,2.04095e+06,2.34049e+06,0,10000,0,4400000,4400000,4400000,200000,200000,0,0,0
TwoLevelTable(p=4096g=32),small_sizes,4.7454e+07,4.69112e+07,4.90656e+07,530975,3.58242e+06,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=8192g=32),small_sizes,4.73069e+07,4.68397e+07,4.81255e+07,322847,3.59356e+06,0,10000,0,4000000,4000000,4000000,200000,200000,0,0,0
TwoLevelTable(p=8192g=64),small_sizes,2.51744e+07,2.41357e+07,3.38674e+07,2.13998e+06,6.75288e+06,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=16384g=64),small_sizes,2.53469e+07,2.42859e+07,3.05811e+07,1.50777e+06,6.70693e+06,0,10000,0,3600000,3600000,3600000,200000,200000,0,0,0
TwoLevelTable(p=2048g=8),large_sizes,1.1472e+06,1.0883e+06,1.7526e+06,150883,740938,0,50,0,1618000,1618000,1618000,1000,1000,0,0,0
TwoLevelTable(p=2048g=16),large_sizes,733575,728000,758300,7923.69,1.15871e+06,0,50,0,818000,818000,818000,1000,1000,0,0,0
TwoLevelTable(p=2048g=32),large_sizes,571065,547400,692600,40472,1.48845e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=4096g=16),large_sizes,744350,725900,920400,41683.6,1.14194e+06,0,50,0,818000,818000,818000,1000,1000,0,0,0
TwoLevelTable(p=4096g=32),large_sizes,557610,547500,635800,23430.1,1.52436e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=8192g=32),large_sizes,559460,547900,705100,33958.9,1.51932e+06,0,50,0,418000,418000,418000,1000,1000,0,0,0
TwoLevelTable(p=8192g=64),large_sizes,466390,462500,489100,7205.82,1.82251e+06,0,50,0,218000,218000,218000,1000,1000,0,0,0
TwoLevelTable(p=16384g=64),large_sizes,474395,460400,563700,27912.9,1.79176e+06,0,50,0,218000,218000,218000,1000,1000,0,0,0
TwoLevelTable(p=2048g=8),mixed_sizes,1.00148e+07,9.8494e+06,1.0425e+07,140598,1.69748e+06,0,1000,0,1954560,1954560,1954560,20000,20000,0,0,0
TwoLevelTable(p=2048g=16),mixed_sizes,5.23674e+06,5.1885e+06,5.4396e+06,49709.1,3.24629e+06,0,1000,0,1147000,1147000,1147000,20000,20000,0,0,0
TwoLevelTable(p=2048g=32),mixed_sizes,2.92694e+06,2.9037e+06,3.135e+06,49364.4,5.80811e+06,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=4096g=16),mixed_sizes,5.22788e+06,5.1841e+06,5.3743e+06,36854.8,3.2518e+06,0,1000,0,1147000,1147000,1147000,20000,20000,0,0,0
TwoLevelTable(p=4096g=32),mixed_sizes,2.91652e+06,2.9046e+06,2.9607e+06,15582.1,5.82886e+06,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=8192g=32),mixed_sizes,2.91522e+06,2.9064e+06,2.9401e+06,9343.81,5.83145e+06,0,1000,0,743160,743160,743160,20000,20000,0,0,0
TwoLevelTable(p=8192g=64),mixed_sizes,1.77732e+06,1.7524e+06,1.8026e+06,11116.9,9.56494e+06,0,1000,0,541600,541600,541600,20000,20000,0,0,0
